time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434067080.4,327.68,136.1,-56.16,x
1658434067096.7,330.65,135.95,-53.1,x
1658434067113.7,333.65,135.41,-49.8,x
1658434067130.9,336.48,134.59,-46.53,x
1658434067147,339.24,133.69,-43.32,x
1658434067162.7,341.98,132.7,-40.14,x
1658434067179.2,344.87,131.56,-36.77,x
1658434067197.4,348.11,130.17,-32.99,x
1658434067213.8,351.85,128.55,-28.73,x
1658434067230.3,355.65,126.75,-24.39,x
1658434067246,358.95,124.56,-20.15,x
1658434067263.5,1.22,122.13,-16.33,x
1658434067279.5,2.62,119.61,-12.81,x
1658434067297.1,3.39,116.96,-9.2,x
1658434067313.4,3.37,114.17,-5.32,x
1658434067329.4,2.2,111.2,-0.85,x
1658434067346.9,358.97,107.78,5.37,x
1658434067363.4,352.7,104.39,14.14,x
1658434067379.3,341.53,101.39,27.18,x
1658434067396.6,324.82,99.36,45.31,x
1658434067414,305.23,98.58,66.02,x
1658434067430.6,285.01,98.96,87.21,x
1658434067447,88.44,79.65,-75.45,x
1658434067462.1,76.86,77.63,-63.31,x
1658434067479.7,69.67,75.56,-55.79,x
1658434067496.3,65.45,73.84,-51.42,x
1658434067513.3,62.67,72.4,-48.59,x
1658434067530.6,60.25,70.9,-46.17,x
1658434067546.3,57.9,69.12,-43.81,x
1658434067563.6,55.48,66.89,-41.37,x
1658434067579.8,53.57,64.71,-39.44,x
1658434067597.1,52.12,62.76,-38.01,x
1658434067612.9,50.96,61.01,-36.92,x
1658434067629.2,50.09,59.55,-36.15,x
1658434067646.7,49.35,58.23,-35.54,x
1658434067663.4,48.61,56.81,-34.95,x
1658434067680.3,47.5,54.44,-34.09,x
1658434067695.4,47.13,53.61,-33.85,x
1658434067712.6,46.53,52.21,-33.47,x
1658434067729,46.03,51.01,-33.18,x
1658434067747.3,45.54,49.82,-32.95,x
1658434067763.5,44.97,48.43,-32.74,x
1658434067779.5,44.37,46.93,-32.57,x
1658434067796,43.77,45.38,-32.43,x
1658434067812.8,43.21,43.88,-32.31,x
1658434067830.3,42.72,42.52,-32.22,x
1658434067846.4,42.24,41.21,-32.19,x
1658434067862.8,41.73,39.93,-32.24,x
1658434067880.2,41.23,38.77,-32.36,x
1658434067895.2,40.79,37.83,-32.52,x
1658434067913.9,40.41,37.08,-32.69,x
1658434067929.2,40,36.39,-32.95,x
1658434067946,39.46,35.61,-33.34,x
1658434067963.4,38.61,34.51,-34.02,x
1658434067980.4,37.39,33.07,-35.07,x
1658434067996.6,35.86,31.64,-36.53,x
1658434068011.7,34.08,30.71,-38.49,x
1658434068029.9,32.12,31.02,-41.17,x
1658434068047.2,30.07,32.83,-44.64,x
1658434068063.3,28,36.16,-49.01,x
1658434068080.5,26.03,40.97,-54.48,x
1658434068096.8,24.57,46.35,-60.57,x
1658434068113.9,23.68,50.63,-66,x
1658434068130.4,23.07,53.74,-70.62,x
1658434068147,22.6,56.42,-75.18,x
1658434068162.7,22.34,58.7,-79.47,x
1658434068179.2,21.97,60.6,-83.76,x
1658434068196.6,21.36,62.14,-88.02,x
1658434068213,200.47,116.67,87.92,x
1658434068230,199.34,115.73,84.07,x
1658434068247.3,197.89,115.13,80.76,x
1658434068262.5,196.14,114.82,78.07,x
1658434068279.3,194.46,114.63,75.82,x
1658434068297.2,193,114.42,73.82,x
1658434068313.6,192,114.17,72.16,x
1658434068329.1,191.49,113.96,71.06,x
1658434068345.6,191.46,113.79,70.53,x
1658434068478.3,191.64,113.82,70.79,x
1658434068497.3,192.59,114.2,72.77,x
1658434068512.7,194.62,115.26,77.78,x
1658434068529.3,197.31,116.79,84.68,x
1658434068546,20.68,61.85,-88.14,x
1658434068563.5,24.36,61.06,-81.73,x
1658434068580.3,27.92,60.5,-75.74,x
1658434068596.6,31.08,59.69,-69.51,x
1658434068613.1,33.79,58.63,-63.36,x
1658434068630.5,36.72,57.31,-56.46,x
1658434068646.9,39.9,56.52,-50,x
1658434068663.1,42.82,56.69,-45.28,x
1658434068680.4,45.48,57.53,-41.8,x
1658434068695.4,47.99,58.81,-39.08,x
1658434068713.8,50.03,60.05,-37.12,x
1658434068730.3,51.5,60.95,-35.67,x
1658434068746.6,52.58,61.61,-34.59,x
1658434068763.7,53.43,62.2,-33.83,x
1658434068779.6,54.15,62.75,-33.31,x
1658434068795.8,54.88,63.36,-32.9,x
1658434068812.9,55.56,63.97,-32.65,x
1658434068829.8,56.03,64.43,-32.58,x
1658434068846.7,56.4,64.8,-32.56,x
1658434068863,56.68,65.09,-32.58,x
1658434068879.4,56.83,65.25,-32.59,x
1658434068896.4,56.87,65.29,-32.6,x
1658434068927.6,56.92,65.35,-32.64,x
1658434068946.4,57.06,65.53,-32.76,x
1658434068962.5,57.39,65.94,-33.04,x
1658434068979.8,57.86,66.51,-33.45,x
1658434068995.4,58.2,66.91,-33.75,x
1658434069013.1,58.4,67.13,-33.93,x
1658434069030.2,58.53,67.28,-34.04,x
1658434069046.6,58.7,67.47,-34.21,x
1658434069063.9,58.97,67.78,-34.54,x
1658434069080.1,59.21,68.08,-34.96,x
1658434069097.4,59.35,68.33,-35.47,x
1658434069113.3,59.41,68.54,-36.17,x
1658434069129.8,59.25,68.63,-37.11,x
1658434069146,58.69,68.49,-38.3,x
1658434069163.1,57.82,68.18,-39.68,x
1658434069179.6,56.89,67.9,-41.3,x
1658434069196.4,55.81,67.59,-43.14,x
1658434069212.8,54.26,67.06,-45.32,x
1658434069229.9,52.35,66.41,-47.81,x
1658434069245.7,50.54,65.85,-50.26,x
1658434069263,49.01,65.47,-52.45,x
1658434069279.6,47.83,65.19,-54.14,x
1658434069296.9,46.97,65.03,-55.47,x
1658434069313.3,46.29,64.94,-56.62,x
1658434069329.8,45.58,64.9,-57.95,x
1658434069347.1,44.66,65.01,-60.17,x
1658434069363.1,43.43,65.31,-63.61,x
1658434069379.7,41.72,65.58,-67.85,x
1658434069396.8,39.63,65.69,-72.05,x
1658434069413.2,37.34,65.62,-75.71,x
1658434069430.5,34.67,65.4,-79.28,x
1658434069446.9,31.44,65,-82.78,x
1658434069463.1,27.67,64.38,-86.08,x
1658434069479.8,23.72,63.72,-89.24,x
1658434069496.2,199.87,116.94,87.93,x
1658434069513.4,196.24,117.58,85.44,x
1658434069529.8,192.88,118.14,83.18,x
1658434069546.5,189.93,118.62,81.25,x
1658434069563.3,187.43,118.98,79.57,x
1658434069580.7,185.5,119.17,78.12,x
1658434069597,183.91,119.25,76.83,x
1658434069613.2,182.49,119.25,75.55,x
1658434069629.3,181.15,119.18,74.26,x
1658434069646.4,179.87,119.11,73.03,x
1658434069663.8,178.45,118.97,71.59,x
1658434069679.9,177.06,118.8,70.15,x
1658434069696.3,175.95,118.65,69,x
1658434069713.2,175.11,118.44,67.97,x
1658434069729.6,174.46,118.23,67.1,x
1658434069746.4,173.93,118.1,66.46,x
1658434069762.8,173.57,117.99,65.99,x
1658434069779.8,173.31,117.88,65.6,x
1658434069796.4,173.16,117.71,65.16,x
1658434069860.7,173.18,117.71,65.17,x
1658434069878.9,173.26,117.69,65.2,x
1658434069896.5,173.72,117.62,65.41,x
1658434069913.8,175.13,117.63,66.48,x
1658434069930.3,178.03,117.73,68.92,x
1658434069946.5,183.14,117.43,72.51,x
1658434069962.9,190.61,116.37,76.79,x
1658434069980.3,197.75,115.39,81.36,x
1658434069996.7,204.39,114.36,85.75,x
1658434070013.2,30.18,66.52,-89.94,x
1658434070029.6,34.94,67.11,-85.35,x
1658434070046.2,39.04,67.56,-80.65,x
1658434070062.8,42.43,68,-76.52,x
1658434070079.9,45.28,68.39,-72.78,x
1658434070096.3,47.43,68.59,-69.18,x
1658434070113.3,48.63,68.5,-66,x
1658434070130.5,49.2,68.18,-63.03,x
1658434070146,49.55,67.84,-60.56,x
1658434070163,49.72,67.45,-58.41,x
1658434070179.8,49.69,66.94,-56.33,x
1658434070196.3,49.54,66.35,-54.35,x
1658434070213,49.21,65.62,-52.52,x
1658434070229.6,48.75,64.77,-50.81,x
1658434070246.2,47.93,63.53,-49.03,x
1658434070263.1,46.63,61.62,-47.07,x
1658434070280.2,44.98,58.95,-45.03,x
1658434070296,42.99,55.22,-42.94,x
1658434070313.3,41.06,51.01,-41.33,x
1658434070330.7,39.41,47.09,-40.37,x
1658434070346.7,37.7,42.92,-39.86,x
1658434070363.1,35.47,37.7,-39.9,x
1658434070379.7,32.77,31.91,-40.72,x
1658434070395.4,29.94,26.62,-42.2,x
1658434070413.1,27.26,22.31,-43.98,x
1658434070432.3,24.81,18.95,-45.84,x
1658434070446.2,22.45,16.11,-47.76,x
1658434070463.4,19.85,13.4,-49.99,x
1658434070480.5,16.83,10.74,-52.69,x
1658434070496.2,13.56,8.44,-55.74,x
1658434070513.1,10.46,6.81,-58.71,x
1658434070529.5,7.59,5.7,-61.54,x
1658434070546.4,4.85,5,-64.29,x
1658434070563.5,2.46,4.64,-66.72,x
1658434070580.2,0.54,4.49,-68.7,x
1658434070596.6,359.04,4.44,-70.25,x
1658434070613.2,357.83,4.49,-71.5,x
1658434070629.1,356.86,4.63,-72.54,x
1658434070646.8,356.05,4.83,-73.42,x
1658434070663.2,355.31,5.09,-74.24,x
1658434070680,354.69,5.37,-74.94,x
1658434070696.6,354.24,5.64,-75.47,x
1658434070713,353.81,6.03,-76,x
1658434070729.9,353.18,6.83,-76.85,x
1658434070745.5,352.19,8.43,-78.28,x
1658434070764.1,350.84,11.32,-80.43,x
1658434070779.6,349.73,15.08,-82.66,x
1658434070797,349.5,19.02,-84.16,x
1658434070813.5,350.46,23.25,-84.75,x
1658434070829.8,353.25,28.94,-84.37,x
1658434070847,358.26,37.33,-83.74,x
1658434070863.5,6.2,48.54,-84.17,x
1658434070879.8,14.74,57.6,-86.56,x
1658434070897,203.86,115.76,89.45,x
1658434070913.2,215,110.45,82.99,x
1658434070930,228.85,106.46,73.33,x
1658434070946.4,246.55,103.74,59.56,x
1658434070963.1,266.2,102.51,43.38,x
1658434070980.5,287.06,102.63,25.98,x
1658434070996.9,302.97,103.7,13.19,x
1658434071012.8,314.63,105.16,4.48,x
1658434071030,323.12,106.7,-1.27,x
1658434071045,328.7,107.96,-4.62,x
1658434071063.4,332.24,108.89,-6.56,x
1658434071079.1,334.79,109.65,-7.96,x
1658434071097.1,337.35,110.51,-9.36,x
1658434071112.6,340.06,111.52,-10.79,x
1658434071129.9,342.55,112.57,-12.07,x
1658434071146.6,344.75,113.55,-13.08,x
1658434071163.5,346.94,114.56,-13.93,x
1658434071179.5,349.29,115.68,-14.67,x
1658434071196.7,351.71,116.86,-15.23,x
1658434071213.3,353.79,117.9,-15.59,x
1658434071229.7,355.28,118.69,-15.83,x
1658434071246.5,356.29,119.3,-16.03,x
1658434071263.8,356.98,119.8,-16.25,x
1658434071280.4,357.39,120.2,-16.49,x
1658434071296.9,357.74,120.65,-16.81,x
1658434071312.2,358.29,121.47,-17.4,x
1658434071329.8,358.95,122.77,-18.38,x
1658434071350.3,359.44,124.58,-19.85,x
1658434071362.1,359.46,126.78,-21.81,x
1658434071379.8,358.68,129.34,-24.43,x
1658434071396.7,357.12,132.05,-27.57,x
1658434071413.5,354.51,134.72,-31.39,x
1658434071429.8,351.31,137.02,-35.43,x
1658434071447.1,348.18,138.63,-39.03,x
1658434071463.6,345.3,139.66,-42.15,x
1658434071479.4,342.63,140.15,-44.81,x
1658434071496,340.13,140.26,-47.13,x
1658434071513.3,337.77,140.11,-49.22,x
1658434071529.8,335.78,139.88,-50.95,x
1658434071546.9,334.59,139.66,-51.94,x
1658434071562.5,334.09,139.55,-52.35,x
1658434071594.3,334.05,139.54,-52.38,x
1658434071613.6,334.07,139.55,-52.36,x
1658434071629.9,334.08,139.55,-52.35,x
1658434071646.5,334.1,139.51,-52.3,x
1658434071663.5,334.19,138.8,-51.74,x
1658434071679.5,334.36,137.03,-50.34,x
1658434071695.6,334.35,134.55,-48.46,x
1658434071713.9,333.81,131.28,-46.16,x
1658434071730.5,331.59,124.61,-40.88,x
1658434071747.1,330.73,122.76,-39.09,x
1658434071763.3,328.5,119.05,-34.95,x
1658434071779.9,325.38,115.42,-29.87,x
1658434071797.1,320.68,111.77,-23.13,x
1658434071813.6,309.79,107.11,-9.6,x
1658434071829.9,291.96,103.76,10.55,x
1658434071846.3,276.94,102.73,26.99,x
1658434071863.4,264.4,102.65,40.75,x
1658434071878.9,254.46,103.07,51.78,x
1658434071897.1,246.25,103.8,61.1,x
1658434071912.7,239.36,104.77,69.18,x
1658434071929.7,231.72,106.4,78.55,x
1658434071945.7,224.46,108.83,88,x
1658434071964.8,39.89,68.88,-85.6,x
1658434071978.9,37.24,67.11,-81.68,x
1658434071995.5,35.28,65.51,-78.68,x
1658434072012.9,33.41,63.64,-75.64,x
1658434072029.8,31.59,61.39,-72.48,x
1658434072047,29.88,58.61,-69.13,x
1658434072063.1,28.45,55.38,-65.75,x
1658434072080.2,27.57,52.66,-63.23,x
1658434072096.5,26.93,50.2,-61.24,x
1658434072113.5,26.24,47.13,-59.09,x
1658434072129.7,25.51,43.55,-57.03,x
1658434072147,24.79,40,-55.42,x
1658434072163.1,24.09,36.41,-54.11,x
1658434072180,23.37,32.61,-52.98,x
1658434072196.3,22.59,28.4,-51.98,x
1658434072212.4,21.85,24.36,-51.24,x
1658434072229.8,21.21,21.06,-50.81,x
1658434072246.9,20.57,18.26,-50.63,x
1658434072262.1,19.94,16.08,-50.68,x
1658434072280.5,19.27,14.26,-50.9,x
1658434072297,18.51,12.47,-51.26,x
1658434072313.5,17.81,10.88,-51.62,x
1658434072330.2,17.36,9.76,-51.83,x
1658434072346.8,17.05,8.92,-51.96,x
1658434072362.9,16.82,8.29,-52.05,x
1658434072380,16.66,7.84,-52.12,x
1658434072396,16.52,7.47,-52.18,x
1658434072412,16.43,7.2,-52.21,x
1658434072429.6,16.38,7,-52.22,x
1658434072446.8,16.35,6.89,-52.23,x
1658434072463.5,16.34,6.85,-52.23,x
1658434072494.5,16.35,6.89,-52.23,x
1658434072513.2,16.56,7.55,-52.16,x
1658434072530.4,17.26,9.48,-51.86,x
1658434072546.5,19.16,13.91,-50.94,x
1658434072562.2,22.15,21.19,-49.75,x
1658434072579.9,25.46,29.36,-48.9,x
1658434072596.9,28.49,36.59,-48.6,x
1658434072613.6,31.13,41.88,-48.36,x
1658434072629,33.6,45.94,-47.96,x
1658434072646.5,35.9,49.1,-47.4,x
1658434072662.3,38.09,51.69,-46.72,x
1658434072678.1,40.23,53.93,-45.93,x
1658434072696.9,42.37,56.1,-45.21,x
1658434072713.1,44.46,58.13,-44.6,x
1658434072730.6,46.51,60.06,-44.13,x
1658434072747,48.35,61.75,-43.86,x
1658434072763.2,49.9,63.09,-43.67,x
1658434072779.9,51.14,64.07,-43.43,x
1658434072796.2,52.22,64.86,-43.11,x
1658434072813.5,53.26,65.59,-42.78,x
1658434072829.8,54.3,66.29,-42.42,x
1658434072845.6,55.28,66.91,-42.01,x
1658434072863,56.21,67.49,-41.62,x
1658434072879.5,56.98,67.96,-41.29,x
1658434072896.7,57.68,68.38,-40.98,x
1658434072913.1,58.33,68.77,-40.7,x
1658434072930.4,58.96,69.14,-40.45,x
1658434072946.6,59.44,69.4,-40.1,x
1658434072963,59.79,69.54,-39.62,x
1658434072980.1,60.09,69.64,-39.12,x
1658434072995.3,60.33,69.69,-38.54,x
1658434073013.8,60.54,69.73,-37.98,x
1658434073029.5,60.75,69.79,-37.53,x
1658434073046.4,60.93,69.85,-37.17,x
1658434073063,60.96,69.8,-36.81,x
1658434073080.2,60.88,69.67,-36.44,x
1658434073096.6,60.71,69.48,-36.05,x
1658434073113.7,60.47,69.21,-35.62,x
1658434073129.9,60.19,68.92,-35.23,x
1658434073147.1,59.92,68.63,-34.88,x
1658434073163.2,59.72,68.41,-34.63,x
1658434073227.6,59.85,68.56,-34.84,x
1658434073246.8,60.46,69.22,-35.72,x
1658434073262,62.06,70.72,-37.88,x
1658434073280,64.85,72.79,-41.54,x
1658434073297.1,68.47,74.8,-46.45,x
1658434073313.1,72.83,76.54,-52.93,x
1658434073329.3,77.14,77.75,-60,x
1658434073346.3,80.19,78.37,-65.71,x
1658434073363.1,82.87,78.76,-71.77,x
1658434073379.1,85.84,79.05,-79.4,x
1658434073396.6,88.89,79.21,-87.95,x
1658434073413.2,272.01,100.78,82.06,x
1658434073429.9,273.97,100.98,72.3,x
1658434073445.9,275.05,101.23,64.06,x
1658434073463,276.27,101.46,56.63,x
1658434073480.3,277.43,101.67,50.25,x
1658434073496.5,278.62,101.85,44.88,x
1658434073513,279.87,102.01,40.32,x
1658434073530.5,281.46,102.19,35.72,x
1658434073546.7,283.11,102.43,30.52,x
1658434073563.1,284.1,102.71,25.3,x
1658434073580.3,284.55,103.02,20.18,x
1658434073595.4,284.69,103.33,15.26,x
1658434073613.6,284.29,103.6,10.9,x
1658434073629.3,283.61,103.84,6.9,x
1658434073645.6,283.24,104.08,2.93,x
1658434073663.1,283.3,104.39,-1.64,x
1658434073678.8,283.82,104.86,-8,x
1658434073695.9,284.54,105.43,-14.72,x
1658434073712.7,285.22,105.91,-19.66,x
1658434073729.1,285.69,106.33,-23.81,x
1658434073745.4,285.95,106.74,-27.68,x
1658434073763.5,285.86,107.06,-31.01,x
1658434073779,285.58,107.32,-33.87,x
1658434073797,285.32,107.55,-36.35,x
1658434073813.1,285.02,107.74,-38.53,x
1658434073830.1,284.74,107.9,-40.47,x
1658434073846,284.55,108.04,-41.99,x
1658434073863.3,284.23,108.12,-43.25,x
1658434073879.8,283.67,108.15,-44.43,x
1658434073897.1,282.95,108.11,-45.47,x
1658434073913.6,281.87,107.96,-46.12,x
1658434073929.9,280.49,107.69,-46.33,x
1658434073945.9,278.82,107.33,-46.18,x
1658434073962.2,276.14,106.73,-45.41,x
1658434073979.6,272.88,106.04,-44.02,x
1658434073995.9,270.12,105.49,-42.53,x
1658434074013.1,267.83,105.06,-41,x
1658434074029.4,264.43,104.46,-38.2,x
1658434074046.4,258.92,103.67,-33.32,x
1658434074063.4,249.49,102.71,-24.67,x
1658434074079.8,234.84,101.99,-10.93,x
1658434074097.1,216.88,102.17,6.12,x
1658434074113.2,200.3,103.47,21.9,x
1658434074129.1,187.03,105.71,34.53,x
1658434074145.9,177.61,108.49,43.54,x
1658434074162.4,171.19,111.47,49.91,x
1658434074179,166.45,114.73,54.93,x
1658434074195.7,163.08,118,58.76,x
1658434074213.9,160.82,120.89,61.48,x
1658434074228.9,159.37,123.22,63.36,x
1658434074246.4,158.29,125.34,64.91,x
1658434074262.9,157.5,127.24,66.2,x
1658434074279.8,156.97,128.83,67.24,x
1658434074297,156.55,130.46,68.28,x
1658434074312.3,156.19,132.2,69.36,x
1658434074329.7,155.93,133.83,70.35,x
1658434074346.6,155.75,135.28,71.2,x
1658434074362.5,155.64,136.66,71.99,x
1658434074379,155.58,138.03,72.79,x
1658434074396.5,155.57,139.43,73.61,x
1658434074413.3,155.64,141.03,74.55,x
1658434074429.8,155.78,142.78,75.6,x
1658434074445.8,155.98,144.46,76.61,x
1658434074462.5,156.21,146.05,77.57,x
1658434074479.7,156.5,147.68,78.57,x
1658434074496.9,156.86,149.4,79.63,x
1658434074513.3,157.28,151.1,80.71,x
1658434074529.6,157.7,152.6,81.68,x
1658434074546.5,158.1,153.92,82.55,x
1658434074562.7,158.47,155.07,83.32,x
1658434074579,158.83,156.11,84.03,x
1658434074596.4,159.24,157.23,84.8,x
1658434074613.7,159.78,158.59,85.77,x
1658434074628.7,160.42,160.06,86.86,x
1658434074645.8,161.08,161.42,87.92,x
1658434074663.2,161.76,162.71,88.97,x
1658434074679.4,342.54,15.95,-89.88,x
1658434074696.7,343.37,14.68,-88.7,x
1658434074712.6,344.25,13.49,-87.5,x
1658434074730.5,345.26,12.3,-86.18,x
1658434074745.9,346.46,11.09,-84.68,x
1658434074762.9,347.93,9.82,-82.89,x
1658434074780.3,349.69,8.55,-80.8,x
1658434074795.7,351.79,7.3,-78.38,x
1658434074812.9,354.21,6.13,-75.63,x
1658434074830.2,357.1,5.03,-72.4,x
1658434074846,0.8,4.05,-68.31,x
1658434074862.6,3.76,3.62,-65.1,x
1658434074879.3,5.31,3.53,-63.44,x
1658434074896.2,6.66,3.58,-62.01,x
1658434074913.6,7.93,3.72,-60.68,x
1658434074929.5,9.61,4.03,-58.94,x
1658434074946.3,11.92,4.68,-56.58,x
1658434074963.5,14.47,5.7,-54.02,x
1658434074979.2,16.82,6.97,-51.71,x
1658434074996.9,19,8.49,-49.64,x
1658434075012.1,21.3,10.54,-47.53,x
1658434075030.5,24.18,13.74,-45.05,x
1658434075046.5,27.88,18.77,-42.09,x
1658434075061.5,32.24,25.93,-39.03,x
1658434075079.5,36.55,34.08,-36.65,x
1658434075096.1,40.32,41.76,-35.32,x
1658434075113.1,43.29,47.82,-34.96,x
1658434075129.4,45.3,51.82,-35.17,x
1658434075145.8,46.97,55.01,-35.7,x
1658434075162.7,48.65,58,-36.55,x
1658434075179.6,50.49,60.96,-37.82,x
1658434075196.5,52.67,63.98,-39.65,x
1658434075212.4,55.35,67,-42.14,x
1658434075229.7,58.61,69.85,-45.41,x
1658434075247,62.5,72.41,-49.49,x
1658434075263.4,66.93,74.55,-54.2,x
1658434075279.8,72.5,76.49,-60.09,x
1658434075297.1,80.06,78.29,-68.04,x
1658434075313.6,90.33,79.81,-78.8,x
1658434075329.6,283.78,99.11,87.16,x
1658434075346,299.74,98.67,70.53,x
1658434075362.5,314.94,98.93,54.67,x
1658434075379.7,327.51,99.71,41.46,x
1658434075396.8,337.54,100.88,30.73,x
1658434075413,345.68,102.42,21.79,x
1658434075430.6,351.91,104.22,14.68,x
1658434075445.4,356.8,106.29,8.8,x
1658434075463.2,1.07,108.92,3.32,x
1658434075480.3,4.62,112.23,-1.77,x
1658434075496.4,6.75,115.34,-5.49,x
1658434075512,7.93,117.81,-7.98,x
1658434075530.3,8.68,119.88,-9.82,x
1658434075545.6,9.12,121.52,-11.18,x
1658434075563.1,9.43,123.18,-12.49,x
1658434075579.1,9.68,125.05,-13.88,x
1658434075596.8,9.78,126.95,-15.26,x
1658434075612.7,9.69,128.72,-16.56,x
1658434075629.1,9.48,130.33,-17.75,x
1658434075646.4,9.19,131.82,-18.87,x
1658434075663,8.79,133.25,-19.99,x
1658434075679.5,8.23,134.65,-21.17,x
1658434075696.8,7.6,135.96,-22.34,x
1658434075713.2,6.9,137.15,-23.47,x
1658434075729.6,6.1,138.22,-24.6,x
1658434075746.7,5.27,139.13,-25.68,x
1658434075762.9,4.29,139.94,-26.82,x
1658434075779.4,2.85,140.76,-28.33,x
1658434075796.7,0.93,141.62,-30.25,x
