time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1653401302640,109.53,13.93,3.4,x
1653401302644,109.6,13.85,3.25,x
1653401302653,109.68,13.78,3.1,x
1653401302654,109.76,13.73,2.95,x
1653401302659,109.84,13.68,2.82,x
1653401302668,109.91,13.64,2.72,x
1653401302670,109.98,13.6,2.64,x
1653401302672,110.04,13.58,2.57,x
1653401302677,110.08,13.56,2.52,x
1653401302682,110.13,13.56,2.48,x
1653401302688,110.16,13.56,2.45,x
1653401302692,110.2,13.57,2.42,x
1653401302698,110.23,13.59,2.4,x
1653401302701,110.27,13.61,2.37,x
1653401302705,110.31,13.64,2.34,x
1653401302712,110.35,13.67,2.3,x
1653401302731,110.4,13.72,2.25,x
1653401302734,110.46,13.78,2.19,x
1653401302735,110.61,13.84,2.12,x
1653401302735,110.53,13.92,2.05,x
1653401302737,110.69,14.01,1.97,x
1653401302741,110.78,14.11,1.88,x
1653401302745,110.87,14.23,1.8,x
1653401302751,110.96,14.35,1.72,x
1653401302755,111.06,14.49,1.65,x
1653401302759,111.16,14.63,1.59,x
1653401302764,111.26,14.78,1.54,x
1653401302769,111.36,14.93,1.52,x
1653401302774,111.46,15.09,1.53,x
1653401302778,111.58,15.22,1.58,x
1653401302783,111.7,15.33,1.66,x
1653401302789,111.84,15.4,1.8,x
1653401302793,111.98,15.41,1.99,x
1653401302799,112.12,15.38,2.23,x
1653401302803,112.26,15.3,2.53,x
1653401302823,112.4,15.19,2.86,x
1653401302826,112.52,15.05,3.19,x
1653401302830,112.63,14.9,3.5,x
1653401302833,112.72,14.74,3.8,x
1653401302834,112.79,14.57,4.06,x
1653401302835,112.84,14.41,4.29,x
1653401302839,112.85,14.26,4.5,x
1653401302841,112.84,14.12,4.68,x
1653401302846,112.8,14,4.85,x
1653401302854,112.74,13.9,5,x
1653401302855,112.66,13.82,5.14,x
1653401302860,112.57,13.77,5.27,x
1653401302864,112.46,13.75,5.39,x
1653401302869,112.35,13.77,5.5,x
1653401302874,112.23,13.82,5.6,x
1653401302883,112.11,13.9,5.69,x
1653401302885,111.97,14.02,5.79,x
1653401302891,111.84,14.17,5.89,x
1653401302893,111.71,14.34,5.99,x
1653401302897,111.57,14.53,6.1,x
1653401302903,111.44,14.73,6.2,x
1653401302908,111.3,14.93,6.31,x
1653401302912,111.18,15.13,6.42,x
1653401302918,111.05,15.33,6.52,x
1653401302923,110.93,15.5,6.62,x
1653401302928,110.81,15.66,6.7,x
1653401302933,110.7,15.81,6.77,x
1653401302939,110.58,15.94,6.83,x
1653401302943,110.47,16.06,6.86,x
1653401302948,110.36,16.17,6.88,x
1653401302952,110.25,16.27,6.88,x
1653401302956,110.15,16.35,6.87,x
1653401302961,110.06,16.42,6.85,x
1653401302967,109.98,16.48,6.82,x
1653401302972,109.91,16.53,6.78,x
1653401302978,109.86,16.58,6.73,x
1653401302981,109.83,16.61,6.69,x
1653401302985,109.82,16.65,6.64,x
1653401302991,109.83,16.68,6.59,x
1653401302995,109.86,16.71,6.54,x
1653401303000,109.92,16.74,6.49,x
1653401303009,109.99,16.76,6.43,x
1653401303016,110.07,16.79,6.37,x
1653401303021,110.17,16.82,6.31,x
1653401303028,110.28,16.85,6.25,x
1653401303032,110.39,16.88,6.18,x
1653401303039,110.51,16.92,6.11,x
1653401303040,110.63,16.96,6.04,x
1653401303040,110.75,17.01,5.96,x
1653401303043,110.87,17.06,5.87,x
1653401303050,111,17.12,5.78,x
1653401303055,111.13,17.18,5.68,x
1653401303058,111.27,17.24,5.57,x
1653401303061,111.41,17.3,5.45,x
1653401303068,111.56,17.35,5.32,x
1653401303073,111.71,17.39,5.2,x
1653401303079,111.86,17.43,5.07,x
1653401303083,112.02,17.46,4.94,x
1653401303086,112.19,17.49,4.82,x
1653401303091,112.35,17.52,4.7,x
1653401303097,112.53,17.54,4.58,x
1653401303100,112.7,17.56,4.47,x
1653401303104,112.88,17.59,4.37,x
1653401303110,113.05,17.61,4.28,x
1653401303115,113.23,17.64,4.2,x
1653401303119,113.4,17.67,4.12,x
1653401303124,113.56,17.7,4.05,x
1653401303129,113.71,17.73,3.98,x
1653401303133,113.86,17.76,3.9,x
1653401303139,113.98,17.79,3.82,x
1653401303144,114.09,17.81,3.72,x
1653401303154,114.26,17.85,3.53,x
1653401303154,114.18,17.83,3.63,x
1653401303174,114.31,17.85,3.44,x
1653401303176,114.38,17.83,3.29,x
1653401303176,114.35,17.85,3.36,x
1653401303176,114.39,17.81,3.24,x
1653401303179,114.39,17.78,3.2,x
1653401303187,114.39,17.75,3.19,x
1653401303190,114.38,17.71,3.2,x
1653401303191,114.36,17.68,3.22,x
1653401303196,114.35,17.66,3.26,x
1653401303201,114.34,17.65,3.3,x
1653401303206,114.33,17.65,3.33,x
1653401303211,114.32,17.66,3.36,x
1653401303219,114.31,17.69,3.38,x
1653401303233,114.29,17.72,3.38,x
1653401303234,114.28,17.76,3.37,x
1653401303235,114.26,17.79,3.34,x
1653401303235,114.23,17.83,3.3,x
1653401303240,114.2,17.85,3.26,x
1653401303245,114.17,17.88,3.21,x
1653401303250,114.14,17.89,3.16,x
1653401303255,114.11,17.89,3.1,x
1653401303269,114.07,17.89,3.05,x
1653401303271,114.03,17.88,3,x
1653401303272,114,17.88,2.95,x
1653401303273,113.98,17.87,2.91,x
1653401303279,113.96,17.86,2.87,x
1653401303285,113.96,17.86,2.83,x
1653401303287,113.97,17.86,2.79,x
1653401303309,113.99,17.86,2.76,x
1653401303311,114.02,17.85,2.72,x
1653401303312,114.06,17.85,2.69,x
1653401303312,114.11,17.84,2.66,x
1653401303314,114.17,17.83,2.63,x
1653401303318,114.24,17.81,2.59,x
1653401303321,114.31,17.79,2.55,x
1653401303325,114.37,17.75,2.49,x
1653401303332,114.42,17.71,2.44,x
1653401303334,114.46,17.68,2.4,x
1653401303340,114.5,17.64,2.36,x
1653401303348,114.55,17.62,2.34,x
1653401303350,114.6,17.58,2.31,x
1653401303354,114.66,17.55,2.28,x
1653401303360,114.73,17.5,2.25,x
1653401303364,114.79,17.45,2.21,x
1653401303369,114.86,17.4,2.17,x
1653401303373,114.93,17.33,2.13,x
1653401303380,114.99,17.25,2.09,x
1653401303384,115.06,17.16,2.05,x
1653401303389,115.13,17.06,2.02,x
1653401303394,115.2,16.96,1.98,x
1653401303398,115.27,16.84,1.96,x
1653401303403,115.35,16.71,1.95,x
1653401303408,115.43,16.59,1.96,x
1653401303422,115.51,16.46,1.98,x
1653401303423,115.59,16.35,2.02,x
1653401303425,115.69,16.24,2.07,x
1653401303428,115.78,16.14,2.12,x
1653401303436,115.88,16.05,2.16,x
1653401303439,115.98,15.96,2.2,x
1653401303444,116.07,15.89,2.23,x
1653401303448,116.16,15.83,2.26,x
1653401303451,116.25,15.79,2.28,x
1653401303458,116.34,15.76,2.29,x
1653401303461,116.42,15.74,2.28,x
1653401303465,116.5,15.73,2.27,x
1653401303470,116.57,15.74,2.24,x
1653401303480,116.64,15.75,2.2,x
1653401303481,116.7,15.76,2.16,x
1653401303484,116.76,15.78,2.11,x
1653401303489,116.8,15.8,2.06,x
1653401303494,116.83,15.81,2.02,x
1653401303499,116.85,15.82,1.98,x
1653401303504,116.86,15.83,1.96,x
1653401303509,116.87,15.83,1.95,x
1653401303515,116.88,15.82,1.93,x
