time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785663891,0,-0.6,-2.7,0,0.2,2.4,7.1,-0.3,6.6,x
1652785663907.7,0.1,-2.3,-3,0,0.3,2.3,7.1,-0.1,6.8,x
1652785663924.6,0.2,-2.3,-3,0,0.3,2.3,7.1,0,6.8,x
1652785663941.1,0.1,-2.5,-1.8,0,0.4,1.4,7.1,0.1,7,x
1652785663957.7,0.2,-0.5,0.8,0,0.4,-0.7,7.1,0.1,7,x
1652785663974.4,0,-0.5,0.8,0,0.4,-0.7,7.1,0,7,x
1652785663991.3,-0.1,0.4,1.8,0,0.3,-1.1,7,0,6.8,x
1652785664007.7,0,-1.5,-0.3,0,0.1,-1.9,7.1,-0.2,6.7,x
1652785664024.4,-0.2,-2.5,-0.8,0,0.1,-0.9,7.1,-0.1,6.8,x
1652785664041,-0.1,-2.5,-0.8,0,0.1,-0.9,7.1,0.1,6.8,x
1652785664058,0,-2.2,-2.3,0,0.2,-0.4,7.1,0.2,7.1,x
1652785664074.5,0,2.2,1.8,0,0.2,-0.3,7.1,0.3,7.1,x
1652785664091.1,0,2.2,1.8,0,0.2,-0.3,7.1,0.2,7.1,x
1652785664107.7,-0.1,3.5,3.7,0,0,0,7.1,0.1,6.9,x
1652785664124.5,-0.1,3,0.9,0,0.2,1.6,7.1,-0.1,6.8,x
1652785664141,0.1,2.1,-0.5,0,0.3,1.7,7.1,-0.2,6.7,x
1652785664157.9,0.1,2.1,-0.5,0,0.3,1.7,7.1,-0.2,6.7,x
1652785664174.7,0.1,1.1,-1,0,0.2,1,7.1,-0.1,6.8,x
1652785664191.3,0,-0.2,0.7,0,0.2,0,7.1,0,6.9,x
1652785664207.7,-0.1,0.3,-0.8,0,0.1,0.3,7.1,0.1,7,x
1652785664225,-0.1,0.3,-0.8,0,0.1,0.3,7.1,0.2,7.1,x
1652785664246.1,-0.2,4.5,-4.5,0,0.1,1.5,7.1,0.3,7.1,x
1652785664258.1,-0.2,6,-7.7,0,0,2.5,7.1,0.2,6.9,x
1652785664274.7,-0.2,6,-7.7,0,0,2.5,7.1,-0.1,6.9,x
1652785664291.3,-0.2,4.7,-8.5,0,0.1,3.7,7.2,-0.3,6.6,x
1652785664308,0,0.6,-4.9,0,0.4,6.2,7.2,-0.1,6.8,x
1652785664324.7,0.2,1.2,-2.9,0,0.5,5.1,7.1,0.1,6.9,x
1652785664341.4,0.2,1.2,-2.9,0,0.4,5.1,7.2,0.1,6.9,x
1652785664358,0.1,1.8,-4.6,0,0.5,2.7,7.2,-0.1,6.7,x
1652785664375.6,0.2,0.8,-4,0,0.5,2,7.2,-0.2,6.6,x
1652785664396.5,0.2,-1.1,-2.4,0,0.6,0.7,7.2,-0.2,6.6,x
1652785664407.9,0.2,-1.1,-2.4,0,0.6,0.7,7.2,-0.2,6.6,x
1652785664427.1,0.2,-4.9,1.6,0,0.5,-1.5,7.2,-0.1,6.7,x
1652785664441.1,0.1,-4.9,1.6,0,0.5,-1.5,7.2,-0.1,6.7,x
1652785664458.2,0,-5.5,0.6,0,0.3,-2.5,7.1,-0.1,6.7,x
1652785664474.8,0,-5.8,0,0,0.4,-3,7.1,0,6.8,x
1652785664490.9,0,-5.8,0,0,0.4,-3,7.1,0,6.8,x
1652785664508.3,-0.1,-6,0.7,0,0.3,-3.3,7.1,0,6.9,x
1652785664524.7,0,-5.9,1.8,0,0.3,-2.9,7.1,0.2,7.1,x
1652785664546.4,0,-2.4,4.8,0,0.3,-3.1,7.1,0.3,7.2,x
1652785664558.4,-0.1,-0.1,2.5,0,0.2,-2.9,7.1,0.2,7.1,x
1652785664574.4,-0.1,-0.1,2.5,0,0.2,-2.9,7.1,0.1,7.1,x
1652785664591.1,-0.2,-0.4,-1.9,0,0.1,-0.9,7.1,-0.2,6.7,x
1652785664607.7,-0.1,-2.1,-0.5,0,0.2,-0.3,7.1,-0.1,6.8,x
1652785664624.6,0,-2.1,-0.5,0,0.2,-0.3,7.1,0,6.8,x
1652785664641.8,0,-2,2.3,0,0.3,0,7,0.2,7.1,x
1652785664657.7,0.1,0.3,-2.4,-0.1,0.3,-0.4,7,0,6.8,x
1652785664674.3,0,-0.3,-2,0,0.3,-0.5,7.1,-0.2,6.7,x
1652785664691.3,0,-0.3,-2,0,0.3,-0.5,7.1,-0.2,6.7,x
1652785664707.6,0,-4.2,-1,0,0.2,-0.5,7.1,-0.1,6.9,x
1652785664724.4,-0.2,-3.6,-1.1,0.1,0.1,0.4,7.1,0.1,7.1,x
1652785664741.2,-0.2,-3.6,-1.1,0,0.1,0.4,7.1,0.2,7.1,x
1652785664757.7,0,-1.7,-3.2,0,0.3,1.7,7,0.2,7,x
1652785664774.4,0,1.5,-2.9,0,0.3,1.4,7.1,0,6.9,x
1652785664791,0,0.4,-0.6,0,0.3,0.9,7,-0.1,6.8,x
1652785664808,0.1,0.4,-0.6,0,0.3,0.9,7,-0.1,6.8,x
1652785664824.4,0.1,-0.7,0,0,0.4,0.4,7,0,6.9,x
1652785664841,0.1,-0.2,-1,0,0.4,0,7,0,6.9,x
1652785664857.7,0,-0.1,-0.9,0,0.3,-0.3,7,-0.1,6.9,x
1652785664874.5,0,-0.1,-0.9,0,0.3,-0.3,7,0,6.9,x
1652785664891,0,-0.8,0.2,0,0.3,-0.1,7.1,0,6.9,x
1652785664908,0,-0.8,0.2,0,0.3,-0.1,7.1,0,6.9,x
1652785664924.3,-0.1,-0.5,0.1,0,0.2,0.2,7.1,0,6.9,x
1652785664940.9,0,-0.6,-1.5,0,0.3,0.5,7.1,-0.1,6.9,x
