time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653397353061.8,109,-13.4,13.4
1653397353081.4,109.2,-12.5,13.1
1653397353099.6,109.4,-11.7,12.8
1653397353115.9,109.7,-11.4,12.6
1653397353131.3,110.2,-10.9,11.6
1653397353148,110.6,-10.6,10.4
1653397353164.7,110.8,-10.4,9.8
1653397353181.6,110.9,-9.8,8.8
1653397353198.2,111,-9,8.2
1653397353214.7,111,-8.7,7.9
1653397353231.3,111,-8,7.1
1653397353248,110.9,-7.4,6.2
1653397353265.2,110.8,-7.1,5.8
1653397353281.4,110.8,-6.5,4.8
1653397353298.1,110.7,-5.8,3.8
1653397353314.8,110.6,-5.4,3.2
1653397353331.4,110.4,-4.6,2.2
1653397353348.1,110.1,-3.8,1.1
1653397353364.8,110,-3.3,0.5
1653397353381.7,109.6,-2.3,-0.9
1653397353398.1,109.2,-1.1,-2.4
1653397353415.2,109,-0.5,-3.1
1653397353431.4,108.5,0.7,-4.3
1653397353448.1,108.1,1.9,-5.5
1653397353464.7,107.9,2.6,-6.1
1653397353481.5,107.5,3.8,-7
1653397353498,107.4,4.8,-8.1
1653397353514.6,107.4,5.3,-8.7
1653397353551,107.6,7.1,-11.9
1653397353569.4,107.7,8.8,-13.6
1653397353581.5,107.7,10.1,-14.4
1653397353598.3,107.8,12.6,-15.7
1653397353614.7,108,13.7,-16.4
1653397353631.4,108.6,15.3,-18
1653397353648.1,109.3,16.7,-20.2
1653397353665.2,109.6,17.6,-21.5
1653397353681.9,110.3,19.7,-23.9
1653397353698.5,111.3,22.3,-25.2
1653397353714.8,112,23.6,-25.5
1653397353731.8,113.5,26.3,-26.1
1653397353748.2,115.3,29,-27.5
1653397353764.7,116.2,30.2,-28.4
1653397353781.4,118,32.5,-30.3
1653397353798,120,34.9,-32
1653397353814.7,121.2,36,-32.8
1653397353831.8,123.8,38.2,-34.2
1653397353848.2,126.2,40,-35.6
1653397353866,127.3,40.8,-36.6
1653397353881.5,129.5,41.9,-39
1653397353898.1,131.3,42.5,-41.5
1653397353927.1,132.9,42.5,-43.7
1653397353948.1,134.7,42.2,-45.4
1653397353971.6,137.6,41.3,-49
1653397353982,138.5,40.9,-50.4
1653397353998,140.1,39.9,-52.7
1653397354014.6,140.8,39.3,-53.8
1653397354031.4,142.2,38.4,-55.4
1653397354048.2,143.7,37.5,-57
1653397354064.7,144.4,37,-57.7
1653397354084,145.6,36.3,-59.3
1653397354098.4,146.8,36.1,-61
1653397354115.9,147.5,36.1,-61.8
1653397354131,149.1,36.2,-63.4
1653397354147.9,150.4,36.3,-64.9
1653397354164.5,151.2,36.2,-66.1
1653397354181.1,151.4,36,-66.6
1653397354197.7,151.5,35.8,-67.5
1653397354214.4,151.6,35.8,-68.5
1653397354231.1,151.8,35.9,-69
1653397354247.7,152.6,36.5,-70.1
1653397354264.4,153.6,37.3,-71.1
1653397354281.1,154.1,37.8,-71.5
1653397354300.4,154.7,38.2,-71.9
1653397354347.9,155.9,39.7,-74.5
1653397354531.1,125.5,49.1,-68.2
1653397354564.4,121.7,51.2,-66.1
1653397354581.1,120.5,51.9,-65.2
1653397354731,71.3,63.8,-28.8
1653397354747.8,64.3,63.4,-23.7
1653397354764.4,51.4,61.6,-14.8
1653397354781.2,40.6,58.8,-7.3
1653397354797.8,36.2,57.3,-4.6
1653397354814.4,29.8,54.6,-2
1653397354831.1,25.1,52.1,0.5
1653397354847.9,20.5,49.2,4.2
1653397354867.9,16.6,46,6.3
1653397354881.1,15.5,44.1,5.8
1653397354897.8,14.2,39.9,3.6
1653397354914.5,13.3,36,1.9
1653397354931.1,12.9,34.3,1.4
1653397354947.7,12.6,31.6,0.3
1653397354964.4,12.5,29.4,-0.2
1653397354981.1,12.4,28.5,-0.1
1653397354997.8,12.8,28.2,0.6
1653397355014.4,13.9,28.4,1.3
1653397355031.2,14.9,28.1,1.4
1653397355047.7,17.2,26.7,1.3
1653397355064.4,19.6,25.1,0.8
1653397355081,21,24.2,0.6
1653397355097.8,25,22.1,0
1653397355114.5,30.8,19.2,-0.6
1653397355131.2,34.7,17.5,-0.7
1653397355147.8,44,13.9,0.7
1653397355164.5,53.5,11.4,3.3
1653397355181,57.8,10.7,4.6
1653397355197.7,65,11,5.8
1653397355214.4,71.5,13.6,4.5
1653397355231.1,74.5,15.6,3.2
1653397355247.7,80.7,20.6,0.5
1653397355264.4,87.4,26.1,-2.1
1653397355281.1,90.9,28.8,-3.5
1653397355297.7,98.3,33.9,-6.8
1653397355314.3,106.2,38.1,-11.1
1653397355331,110.3,39.8,-13.6
1653397355347.7,118.7,42.2,-19.3
1653397355364.4,127,43.5,-25.5
1653397355381,130.8,43.8,-28.5
1653397355398,137.8,43.7,-34.3
1653397355414.4,143.8,43,-39.2
1653397355431.2,146.3,42.5,-41.3
1653397355447.7,150.4,41.3,-44.7
1653397355464.4,153.4,40,-46.9
1653397355481.2,154.4,39.5,-47.6
1653397355497.9,156.1,39,-48.7
1653397355572.8,156,41.1,-51
1653397355586.6,154.2,42.3,-51.2
1653397355646.9,145.5,46.5,-49.4
1653397355664.4,141.4,47.9,-48
1653397355681,139,48.5,-47
1653397355697.7,133.7,49.9,-44.7
1653397355714.3,127.7,51.2,-41.5
1653397355731,124.5,51.8,-39.6
1653397355747.7,117.7,53.2,-35.2
1653397355764.4,110.4,54.3,-29.9
1653397355781,106.8,54.7,-26.9
1653397355797.7,99.9,55.6,-20.1
1653397355814.3,93,56.9,-13.1
1653397355831,89.1,57.4,-9.7
1653397355847.6,80.5,57.4,-2.6
