time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1666170364893.3,82,56,6.5
1666170364910,81,57,7.2
1666170364956.8,79.1,57.9,8.4
1666170364976.7,78.1,58.1,9.8
1666170364993.3,78.1,58.1,10.1
1666170365010,78.4,58.2,10.1
1666170365026.6,79.3,58.3,9.9
1666170365043.3,80.5,58.3,9.5
1666170365059.9,81.1,58.3,9.3
1666170365093.4,81.4,58.5,9.9
1666170365109.9,81.6,58.8,10.5
1666170365126.6,81.9,58.9,10.6
1666170365143.3,82.3,59,10.6
1666170365161.4,82.5,58.9,10.6
1666170365177.2,83.2,58.6,10.3
1666170365193.4,84,58.4,9.7
1666170365210,84.5,58.5,9.4
1666170365227.1,84.6,58.6,9.4
1666170365243.3,84.7,58.9,9.5
1666170365260,84.8,59.2,9.7
1666170365277.4,84.8,59.5,9.9
1666170365293.3,84.7,59.8,10
1666170365309.9,84.5,60.3,10.3
1666170365326.6,84.5,60.6,10.4
1666170365343.3,84.4,61,10.4
1666170365360,84.3,60.9,10
1666170365376.7,84.2,60.4,9.7
1666170365393.3,84.1,60.2,9.6
1666170365409.9,84.4,59.7,9.6
1666170365427.9,84.7,59.5,9.6
1666170365443.3,85.5,59.1,9.4
1666170365459.9,85.9,58.9,9.3
1666170365476.6,86.6,58.6,8.6
1666170365493.3,86.9,58.4,7.7
1666170365510,86.8,58.2,7.4
1666170365526.7,86.6,58.1,7.3
1666170365543.3,85.6,57.6,8.2
1666170365560.6,85.5,57.5,8.7
1666170365577.4,85.4,57.3,9.1
1666170365593.3,85.7,57,9.7
1666170365610.2,85.9,56.8,9.9
1666170365627.3,85.9,56.9,10
1666170365643.8,85.8,57.1,10.6
1666170365660.1,85.7,57.4,11.4
1666170365693.4,85.5,57.3,11.4
1666170365710,85.2,57.1,11.4
1666170365727.4,84.9,56.7,11.5
1666170365743.3,84.6,56.3,11.7
1666170365776.6,84.8,56,11.6
1666170365793.2,85.6,55.9,11
1666170365810.1,85.9,55.9,10.7
1666170365826.7,86.1,56,10.5
1666170365843.3,86.1,56.7,10.2
1666170365867.7,86,56.9,10.2
1666170365897.2,85.8,58.2,10.1
1666170365909.9,85.8,58.4,10
1666170365926.8,85.9,58.9,9.9
1666170365943.2,85.9,59.5,9.8
1666170365960,85.9,59.9,9.8
1666170365983.1,85,61.4,10.4
1666170365993.3,84.6,62,10.7
1666170366010,83.6,63.3,11.2
1666170366026.9,83.2,63.9,11.4
1666170366043.3,82.6,64.9,11.5
1666170366059.9,82.3,65.6,11.4
1666170366076.5,82.2,65.9,11.4
1666170366093.3,82.2,66.2,11.2
1666170366109.9,82.3,66.4,11.1
1666170366143.2,82.5,66.7,11.1
1666170366160,82.5,67.1,11.1
1666170366193.9,82.4,67.4,11.1
1666170366209.9,82.4,67.9,11
1666170366227.1,82.3,68.1,11
1666170366245.5,82.2,68.4,11.1
1666170366259.9,82,68.7,11.5
1666170366276.8,81.8,68.8,11.8
1666170366293.1,81.2,69,12.6
1666170366309.9,80.5,69.3,13.5
1666170366327.8,80.2,69.4,13.9
1666170366343.2,80.1,69.6,14.1
1666170366359.9,79.6,70,14.5
1666170366376.7,79.5,70.2,14.6
1666170366393.2,79.1,70.8,15
1666170366409.9,78.4,71.4,15.6
1666170366426.6,78.1,71.7,16
1666170366443.3,77.6,72.3,16.4
1666170366459.9,77.5,72.6,16.4
1666170366476.8,77.7,72.7,16.2
1666170366493.3,78.1,72.4,15.8
1666170366526.8,79.2,71.9,14.8
1666170366543.3,79.9,71.4,14
1666170366576.9,80.5,70.9,13.6
1666170366593.3,80.6,70.8,13.4
1666170366609.9,80.8,70.6,13.3
1666170366626.8,80.7,70.3,13.4
1666170366643.7,80.3,70.1,13.7
1666170366660.2,80,69.9,14
1666170366676.7,79,69.6,15
1666170366693.5,78.4,69.2,15.6
1666170366710,78.2,68.9,15.8
1666170366726.5,77.4,68.1,16.2
1666170366743.3,76.8,67,16.3
1666170366760,76.6,66.5,16.1
1666170366776.6,76.5,65.5,14.7
1666170366793.3,76.8,65.1,13.5
1666170366822.7,78.1,63.7,9.3
1666170366843.2,78.2,62.1,6.9
1666170366859.8,77.4,60.8,6.1
1666170366876.8,77,60.2,6.1
1666170366893.3,76.6,59.1,6.5
1666170366909.9,76.4,58,7.2
1666170366926.5,76.4,57.6,7.5
1666170366943.2,76.6,56.9,8.4
1666170366959.9,77,56.4,9.3
