time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285097070.9,15.8,23.7,-3.4,x
1664285097089.2,14.9,23.8,-3.9,x
1664285097105.3,14.6,23.9,-4.2,x
1664285097120.9,13.9,24.3,-4.5,x
1664285097138.1,13,24.6,-4.4,x
1664285097180.3,11.4,24.6,-4.3,x
1664285097206,10.7,23.8,-4.2,x
1664285097220.9,9.9,22.7,-4.2,x
1664285097238.1,9,22.2,-4.6,x
1664285097254.2,8.5,22.4,-4.8,x
1664285097271.5,7.5,22.9,-4.4,x
1664285097287.5,6.7,23.2,-3.5,x
1664285097304.3,6.4,23.2,-3.2,x
1664285097321,5.8,22.8,-3.2,x
1664285097341.9,5.3,22.4,-3.7,x
1664285097354.2,5,22.2,-3.9,x
1664285097370.7,4.5,22.3,-4.2,x
1664285097388.2,3.9,22.6,-4.2,x
1664285097404.3,3.7,22.8,-4.1,x
1664285097420.8,3,23,-4.1,x
1664285097437.5,2.7,23.1,-4.1,x
1664285097454.5,2,23.1,-4.1,x
1664285097470.9,1.4,23.2,-4.1,x
1664285097487.6,0.9,23.3,-4.1,x
1664285097517.1,0.5,23.5,-4.2,x
1664285097535.5,0.3,23.5,-4.2,x
1664285097570.7,359.3,23.5,-4.5,x
1664285097587.6,359.1,23.4,-4.6,x
1664285097604.3,358.7,23.4,-4.7,x
1664285097620.8,358.2,23.6,-4.8,x
1664285097637.5,357.7,23.8,-4.8,x
1664285097654.2,357.4,23.9,-4.7,x
1664285097675,356.9,24,-4.7,x
1664285097687.5,356.5,23.9,-4.7,x
1664285097704.5,356.3,23.9,-4.7,x
1664285097720.8,355.9,24,-4.8,x
1664285097737.1,355.3,24.3,-4.7,x
1664285097754.1,355,24.4,-4.5,x
1664285097770.9,354.4,24.5,-4.1,x
1664285097788.6,353.8,24.5,-3.9,x
1664285097805.2,353.5,24.2,-3.8,x
1664285097830.2,352.7,22.8,-4.7,x
1664285097837.6,352.4,22.5,-5.2,x
1664285097854.1,352,22.5,-5.5,x
1664285097870.9,351.1,22.9,-5.5,x
1664285097887.6,350.7,23,-5.2,x
1664285097904.6,349.9,23.2,-4.7,x
1664285097920.9,349.1,23.1,-4.9,x
1664285097937.6,348.7,23,-5.1,x
1664285097954.4,347.9,23,-5.6,x
1664285097970.9,347.6,23.1,-5.8,x
1664285097987.5,346.9,23.3,-6,x
1664285098004.3,346.3,23.3,-6.2,x
1664285098020.9,345.5,23.2,-6.5,x
1664285098038.8,344.5,23.3,-6.8,x
1664285098054.2,344,23.3,-6.9,x
1664285098070.9,342.8,23.6,-6.9,x
1664285098115.2,340.5,24.2,-6.7,x
1664285098139.8,338.8,24.5,-6.8,x
1664285098154.3,338.2,24.5,-6.9,x
1664285098170.7,337,24.7,-6.9,x
1664285098187.5,335.8,25.1,-6.8,x
1664285098207.9,334.7,25.6,-6.7,x
1664285098220.8,334.1,25.8,-6.6,x
1664285098237.8,333.5,25.9,-6.6,x
1664285098254.1,332.4,26.1,-6.6,x
1664285098271.1,331.2,26.3,-6.7,x
1664285098287.5,330.6,26.5,-6.7,x
1664285098305.1,329.3,26.9,-6.7,x
1664285098324.5,328.1,27.4,-6.6,x
1664285098337.4,326.8,27.7,-6.4,x
1664285098354.1,326.2,27.8,-6.3,x
1664285098370.8,325,28,-6.4,x
1664285098387.6,324.3,28,-6.4,x
1664285098406.1,322.9,27.8,-5.9,x
1664285098420.8,321.7,27.6,-5.5,x
1664285098437.9,320.5,28,-5.6,x
