time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653401302081,-0.8,-0.96,0.63,-1.24,-0.57,9.92,-0.51,-22.48,136.94
1653401302086,-0.59,-0.98,0.23,-1.15,-0.69,9.49,11.43,-4.84,134.7
1653401302091,-0.43,-1.05,-0.23,-1.11,-0.79,9.23,16.08,3,133.51
1653401302096,-0.35,-1.19,-0.61,-1.05,-0.84,9.12,27.67,22.04,130.22
1653401302101,-0.26,-1.3,-0.82,-1.04,-0.94,9.03,34.07,33.2,127.42
1653401302105,-0.18,-1.41,-0.91,-1.11,-1.08,7.86,44.12,81.53,119.51
1653401302111,-0.19,-1.52,-1.7,-0.85,-1.57,9.45,50.73,111.6,109.05
1653401302115,0.07,-1.9,-1.19,-0.22,-2.06,10.63,55.53,110.02,91.97
1653401302120,0.59,-2.49,0.46,-0.14,-1.89,10.63,58.54,107.71,77.02
1653401302125,1,-2.5,0.76,-0.71,-0.59,11.11,60.36,106.07,70.41
1653401302130,0.84,-1.82,0.95,-1.12,0.06,11.35,64.73,98.02,59.03
1653401302135,0.39,-0.93,1.38,-1.44,0.52,11.38,70.23,81.29,48.64
1653401302139,-0.02,-0.28,1.5,-1.72,0.8,11.1,74.04,66.52,42.83
1653401302144,-0.24,-0.03,1.32,-1.76,0.78,10.75,77.19,51.68,38.07
1653401302149,-0.31,-0.07,1.01,-1.69,0.62,10.34,79.71,31.49,32.26
1653401302154,-0.26,-0.22,0.67,-1.7,0.61,10.29,80.17,25.75,30.58
1653401302159,-0.2,-0.38,0.44,-1.59,0.52,10.17,80.13,18.26,27.92
1653401302163,-0.11,-0.53,0.32,-1.53,0.51,10.12,79.08,9.02,24.38
1653401302168,-0.05,-0.62,0.27,-1.41,0.51,10.04,78.31,6.01,22.39
1653401302173,0.07,-0.67,0.18,-1.3,0.49,9.91,77.54,5.38,20.67
1653401302178,0.2,-0.75,0.07,-1.19,0.55,9.87,76.74,8.35,18.61
1653401302183,0.31,-0.75,0.04,-1.2,0.64,9.76,75.76,15.07,18.08
1653401302187,0.34,-0.75,-0.04,-1.17,0.74,9.86,74.04,25.19,18.85
1653401302192,0.38,-0.7,-0.01,-1.19,0.86,10.21,71,37.02,22.42
1653401302197,0.4,-0.64,0.24,-1.27,0.96,10.69,68.79,40.27,26.87
1653401302202,0.37,-0.59,0.71,-1.35,1.06,10.88,67.95,40.03,31.1
1653401302207,0.29,-0.52,1.05,-1.37,1.14,10.69,67.92,39.99,37.12
1653401302211,0.29,-0.48,0.93,-1.21,1.17,10.06,70.26,45.8,45.91
1653401302216,0.41,-0.5,0.48,-1.03,1.15,9.62,71.87,50.56,49.58
1653401302221,0.61,-0.59,0.01,-0.88,1.1,9.46,73.69,55.81,53.43
1653401302226,0.83,-0.69,-0.26,-0.73,1.11,9.53,74.6,57.84,56.2
1653401302231,1,-0.77,-0.25,-0.67,1.19,9.68,73.94,55.39,58.23
1653401302235,1.1,-0.74,-0.05,-0.65,1.38,9.8,72.29,50,58.89
1653401302240,1.15,-0.67,0.09,-0.63,1.53,9.79,69.84,43.28,59.17
1653401302245,1.18,-0.54,0.12,-0.73,1.88,9.81,66.73,33.94,58.51
1653401302250,1.13,-0.37,0.14,-0.79,2,9.83,64.63,28.09,57.6
1653401302255,1.06,-0.22,0.19,-0.84,2,9.65,61.27,22.81,55.15
1653401302259,0.97,-0.2,0.1,-0.66,1.89,9.55,57.7,20.81,50.95
1653401302264,1.07,-0.32,-0.02,-0.4,1.77,9.45,54.09,22.04,45.07
1653401302268,1.33,-0.49,-0.1,-0.2,1.65,9.34,50.07,26.94,37.23
1653401302274,1.55,-0.65,-0.21,-0.12,1.64,9.32,47.93,30.05,32.78
1653401302279,1.67,-0.75,-0.25,-0.11,1.71,9.35,44.57,36.25,26.97
1653401302283,1.71,-0.71,-0.21,-0.23,1.87,9.35,43.98,38.38,25.82
1653401302288,1.63,-0.59,-0.18,-0.45,2.11,9.26,42.79,44.23,24.84
1653401302293,1.49,-0.43,-0.23,-0.67,2.24,9.19,42.75,45.1,25.01
1653401302297,1.29,-0.32,-0.29,-0.81,2.28,9.14,42.12,48.08,26.55
1653401302302,1.11,-0.27,-0.32,-0.86,2.4,9.15,40.79,50.28,29.63
1653401302307,1.04,-0.23,-0.3,-0.83,2.43,9.15,39.85,50.35,30.58
1653401302312,1.11,-0.2,-0.29,-0.79,2.52,9,37.68,50.56,32.5
1653401302317,1.18,-0.15,-0.4,-0.78,2.63,8.67,34.42,51.23,33.97
1653401302322,1.21,-0.06,-0.68,-0.8,2.74,8.38,29.91,52.21,35.13
1653401302327,1.22,0.02,-0.95,-0.98,2.83,8.17,21.58,51.96,35.48
1653401302331,1.13,0.07,-1.13,-1.2,2.88,7.84,16.36,52.52,35.62
1653401302337,0.95,0.12,-1.33,-1.35,2.91,7.48,7.37,56.65,35.97
1653401302341,0.77,0.16,-1.76,-1.64,3.01,7.62,-1.38,59.24,37.16
1653401302346,0.57,0.23,-1.79,-1.81,3.04,8.16,-6.7,56.13,38.98
1653401302351,0.41,0.27,-1.3,-1.84,3.01,8.58,-7.89,49.2,41.64
1653401302356,0.34,0.26,-0.81,-1.75,2.92,8.85,-7.23,40.55,45.56
1653401302360,0.4,0.19,-0.49,-1.65,2.8,9.05,-6.6,29.42,50.25
1653401302365,0.5,0.05,-0.23,-1.55,2.75,8.97,-5.72,21.58,53.89
1653401302370,0.59,-0.01,-0.22,-1.42,2.71,8.75,-3.52,10.66,58.86
1653401302375,0.69,-0.06,-0.39,-1.37,2.71,8.68,-2.43,7.41,60.01
1653401302379,0.86,-0.1,-0.63,-0.85,2.57,8.25,1.14,2.61,61.8
1653401302385,1.14,-0.2,-0.86,-0.45,2.41,8,5.62,2.51,60.78
1653401302389,1.5,-0.36,-1.12,-0.09,2.31,7.99,9.12,3.52,58.54
1653401302394,1.86,-0.5,-1.21,0.16,2.29,8.05,11.22,4.22,56.27
1653401302398,2.17,-0.56,-1.13,0.64,2.32,8.22,14.61,4.96,51.79
1653401302403,2.53,-0.57,-1,0.88,2.34,8.29,16.71,4.78,47.69
1653401302408,2.81,-0.55,-0.89,1.02,2.36,8.23,17.97,4.4,44.12
1653401302414,2.94,-0.55,-0.88,1.08,2.33,8.13,19.02,3.24,38.21
1653401302418,3,-0.58,-0.96,1.06,2.38,7.98,18.81,2.23,33.34
1653401302423,2.99,-0.58,-1.08,1.01,2.51,7.89,17.31,0.83,29
1653401302427,2.91,-0.5,-1.19,0.88,2.62,7.86,14.86,-0.89,24.87
1653401302432,2.78,-0.38,-1.23,0.83,2.71,7.83,11.43,-3.02,21.83
1653401302437,2.67,-0.29,-1.25,0.77,2.73,7.85,7.72,-5.82,19.24
1653401302442,2.6,-0.25,-1.23,0.66,2.78,7.82,4.36,-8.2,17.52
1653401302447,2.48,-0.22,-1.23,0.55,2.84,7.82,1.63,-10.23,16.19
1653401302452,2.34,-0.17,-1.25,0.46,2.85,7.97,-0.23,-12.37,15.95
1653401302456,2.17,-0.12,-1.17,0.58,2.74,7.95,-3.06,-15.59,16.26
1653401302461,2.23,-0.21,-1.1,0.83,2.49,7.77,-5.06,-13.84,16.86
1653401302466,2.44,-0.45,-1.25,0.91,2.4,7.67,-5.86,-11.21,17.07
1653401302471,2.53,-0.55,-1.36,0.87,2.45,7.74,-6.88,-7.78,17.24
1653401302476,2.49,-0.53,-1.31,0.72,2.42,7.74,-7.47,-4.25,17.03
1653401302481,2.35,-0.52,-1.3,0.63,2.28,7.96,-8.17,-2.95,15.88
1653401302485,2.2,-0.6,-1.15,0.58,2.15,8.04,-8.74,-3.48,14.34
1653401302490,2.12,-0.76,-0.99,0.62,2,8.02,-10.56,-5.47,10.8
1653401302494,2.1,-0.88,-0.97,0.87,1.83,8.01,-12.48,-7.82,7.55
1653401302499,2.25,-1,-1,1.15,1.71,8.04,-14.51,-10.16,5.24
1653401302504,2.56,-1.16,-0.98,1.48,1.49,8.32,-17.84,-15.1,1.84
1653401302510,2.83,-1.3,-0.8,1.48,1.47,8.69,-19.59,-18.7,0.76
1653401302514,2.9,-1.37,-0.48,1.21,1.61,9.05,-21.23,-23.92,0.23
1653401302519,2.67,-1.27,-0.1,0.95,2,9.28,-20.99,-25.67,1
1653401302523,2.36,-0.94,0.18,1.07,2.18,9.31,-18.89,-25.6,2.58
1653401302528,2.28,-0.65,0.28,1.18,2.32,9.07,-15.46,-21.43,4.89
1653401302533,2.4,-0.49,0.13,1.3,2.4,8.87,-10.17,-10.93,7.55
1653401302538,2.49,-0.38,-0.11,1.36,2.36,8.69,-7.33,-2.78,8.91
1653401302543,2.58,-0.38,-0.32,1.53,2.34,8.41,-6.28,3.94,9.12
1653401302548,2.72,-0.4,-0.6,1.65,2.44,8.07,-6.88,9.26,7.72
1653401302552,2.83,-0.34,-0.87,1.71,2.55,7.98,-8.91,11.85,4.71
1653401302557,2.88,-0.21,-1.04,1.64,2.66,7.91,-11.89,11.61,0.48
1653401302562,2.86,-0.1,-1.1,1.56,2.71,7.92,-15.49,7.86,-4.91
1653401302567,2.74,0,-1.1,1.36,2.84,7.96,-18.82,2.19,-10.69
1653401302572,2.59,0.1,-1.05,0.97,3.06,7.85,-22,-4.42,-15.8
1653401302576,2.27,0.3,-1.14,0.62,3.28,7.9,-24.24,-12.47,-19.89
1653401302582,1.8,0.6,-1.13,-0.07,3.78,8.37,-25.75,-22.45,-21.71
1653401302586,1.25,0.99,-0.83,-0.68,4.16,8.77,-25.64,-32.74,-21.61
1653401302591,0.61,1.41,-0.41,-1.17,4.43,9,-23.61,-41.39,-19.86
1653401302596,0.04,1.73,-0.1,-1.53,4.59,9,-19.48,-46.92,-16.85
1653401302601,-0.41,1.93,-0.04,-1.66,4.58,8.98,-14.23,-50.1,-13.31
1653401302606,-0.66,1.98,-0.06,-1.66,4.4,8.92,-8.1,-50.98,-10.2
1653401302610,-0.74,1.86,-0.12,-1.58,4.18,8.88,-3.69,-50.7,-8.45
1653401302615,-0.7,1.59,-0.18,-1.54,3.73,8.86,2.54,-49.54,-7.54
1653401302620,-0.69,1.24,-0.22,-1.31,3.24,9.01,5.06,-50.52,-8.06
1653401302624,-0.56,0.78,-0.11,-1.12,2.93,9.06,4.99,-52.55,-8.48
1653401302630,-0.35,0.33,-0.02,-1.05,2.68,8.79,2.47,-54.97,-9.08
1653401302634,-0.3,0.08,-0.19,-1,2.67,8.54,-0.93,-54.48,-9.53
1653401302638,-0.28,0.02,-0.44,-0.99,2.73,8.37,-4.81,-51.26,-10.27
1653401302643,-0.31,0.06,-0.65,-0.88,2.7,8.45,-8.67,-46.57,-11.6
1653401302648,-0.26,0.09,-0.67,-0.84,2.65,8.53,-12.76,-41.18,-13.63
1653401302653,-0.2,0.04,-0.56,-1.12,2.68,8.47,-16.4,-34,-15.94
1653401302658,-0.38,0.05,-0.59,-1.46,2.73,8.51,-19.24,-25.95,-17.65
1653401302663,-0.71,0.13,-0.6,-1.74,2.73,8.68,-22.11,-18.74,-17.86
1653401302668,-1.04,0.17,-0.47,-1.84,2.61,8.85,-25.05,-13.63,-16.88
1653401302672,-1.19,0.11,-0.3,-1.98,2.41,9.02,-27.08,-10.97,-15.52
1653401302677,-1.32,-0.05,-0.14,-2.03,2.29,9.14,-29.88,-8.41,-11.81
1653401302682,-1.4,-0.19,0.02,-2.12,2.16,9.34,-31.42,-7.4,-8.87
1653401302687,-1.47,-0.29,0.17,-2.23,2.13,9.57,-31.87,-7.64,-5.4
1653401302692,-1.56,-0.31,0.36,-2.22,2.11,9.79,-31.87,-9.11,-2.57
1653401302697,-1.6,-0.31,0.59,-2.18,2.14,9.89,-31.28,-11,0.44
1653401302701,-1.57,-0.27,0.72,-2.09,2.12,9.96,-29.77,-12.61,3.28
1653401302706,-1.5,-0.25,0.79,-1.96,2.08,10.12,-27.95,-14.85,5.59
1653401302711,-1.41,-0.26,0.89,-1.86,2.05,10.22,-25.85,-18.18,8.07
1653401302716,-1.27,-0.28,1.03,-1.65,2.03,10.36,-23.58,-22.06,9.79
1653401302721,-1.13,-0.28,1.13,-1.48,2.07,10.48,-21.37,-25.88,11.92
1653401302725,-0.98,-0.24,1.24,-1.27,2.15,10.51,-18.99,-29.1,13.57
1653401302730,-0.8,-0.17,1.3,-1.06,2.2,10.5,-17.14,-30.61,14.83
1653401302735,-0.61,-0.09,1.29,-0.85,2.22,10.46,-14.2,-30.4,16.05
1653401302740,-0.42,-0.05,1.25,-0.66,2.2,10.38,-11.78,-28.86,16.65
1653401302744,-0.25,-0.05,1.16,-0.48,2.13,10.31,-9.79,-25.88,16.3
1653401302749,-0.1,-0.1,1.1,-0.29,2,10.21,-7.82,-21.19,15.11
1653401302754,0.08,-0.2,0.99,-0.23,2,10.21,-6.07,-15.66,13.15
1653401302759,0.19,-0.24,0.95,-0.26,2.2,10.34,-4.67,-11.28,10.98
1653401302764,0.18,-0.11,1.04,-0.42,2.44,10.54,-3.31,-8.59,9.44
1653401302768,0.06,0.12,1.19,-0.62,2.58,10.65,-1.87,-7.4,8.46
1653401302773,-0.14,0.3,1.35,-0.85,2.63,10.64,-0.61,-7.12,7.72
1653401302778,-0.37,0.38,1.37,-1.01,2.63,10.61,0.72,-6.7,7.76
1653401302783,-0.59,0.38,1.33,-1.14,2.62,10.57,2.05,-6.77,8.04
1653401302788,-0.73,0.37,1.29,-1.2,2.58,10.49,3.41,-7.15,8.6
1653401302793,-0.8,0.33,1.22,-1.25,2.6,10.41,4.11,-8.06,9.33
1653401302798,-0.85,0.33,1.13,-1.32,2.69,10.28,5.16,-9.46,10.28
1653401302803,-0.92,0.38,1.02,-1.4,2.8,10.19,6.77,-11.39,12.13
1653401302807,-1,0.49,0.91,-1.44,2.91,10.13,7.82,-12.79,13.46
1653401302812,-1.07,0.6,0.82,-1.44,2.99,10.08,8.8,-14.33,14.79
1653401302817,-1.09,0.71,0.75,-1.4,3.08,10.02,10.38,-16.18,16.61
1653401302822,-1.04,0.78,0.65,-1.21,3.16,9.74,13.21,-17.69,18.92
1653401302827,-0.94,0.82,0.48,-1.07,3.16,9.57,15.1,-17.79,20.01
1653401302831,-0.83,0.83,0.32,-0.99,3.18,9.42,17.24,-17.2,20.81
1653401302836,-0.71,0.82,0.13,-0.8,3.22,9.17,19.41,-15.62,21.34
1653401302841,-0.58,0.82,-0.05,-0.61,3.19,8.97,21.44,-13.45,21.65
1653401302844,-0.42,0.79,-0.27,-0.56,3.19,8.92,23.4,-10.65,21.93
1653401302851,-0.22,0.75,-0.45,-0.2,3.2,8.61,24.9,-7.05,22.25
1653401302855,-0.03,0.72,-0.62,-0.03,3.33,8.38,25.85,-1.69,22.81
1653401302860,0.19,0.83,-0.86,0.22,3.53,8,26.02,3.66,23.68
1653401302864,0.43,1,-1.22,0.51,3.63,7.77,23.54,14.3,25.5
1653401302869,0.73,1.1,-1.46,0.82,3.72,7.58,17.97,23.96,27.39
1653401302875,0.99,1.15,-1.62,1.03,3.75,7.49,9.82,35.27,28.9
1653401302879,1.25,1.2,-1.72,1.21,3.7,7.48,0.05,47.34,29.6
1653401302884,1.47,1.18,-1.75,1.37,3.62,7.6,-10.24,60.15,28.97
1653401302889,1.66,1.12,-1.69,1.54,3.59,7.89,-19.8,72.5,27.18
1653401302893,1.89,1.07,-1.46,1.71,3.56,8.42,-27.39,81.99,23.86
1653401302898,2.11,1.06,-1.01,1.81,3.51,8.89,-33.03,86.57,19.73
1653401302903,2.3,1.04,-0.41,1.91,3.36,9.63,-36.46,86.08,15.21
1653401302908,2.45,0.95,0.19,1.9,3.3,9.98,-38.1,82.83,11.4
1653401302913,2.51,0.87,0.69,1.86,3.21,10.42,-38.56,76.6,6.36
1653401302918,2.52,0.82,1.12,1.7,3.09,10.83,-36.74,66.69,-0.43
1653401302923,2.46,0.75,1.46,1.42,2.99,11.06,-33.97,58.79,-5.72
1653401302927,2.27,0.67,1.7,1.21,2.91,11.21,-31.49,53.05,-9.32
1653401302932,2,0.58,1.91,0.77,2.76,11.46,-26.52,44.4,-14.57
1653401302937,1.68,0.47,2.09,0.44,2.66,11.66,-22.18,38.63,-18.18
1653401302942,1.39,0.38,2.29,0.19,2.62,11.74,-18.47,34.88,-20.1
1653401302947,1.07,0.33,2.42,-0.16,2.54,11.98,-11.08,29.53,-22.55
1653401302952,0.8,0.27,2.58,-0.41,2.49,12.14,-3.66,25.36,-23.57
1653401302956,0.56,0.21,2.76,-0.62,2.37,12.2,3.66,21.79,-24.02
1653401302961,0.35,0.12,2.85,-0.75,2.23,12.2,11.43,18.12,-24.23
1653401302965,0.2,-0.03,2.88,-0.83,2.12,11.99,19.2,15.67,-24.44
1653401302971,0.12,-0.17,2.73,-0.89,2,11.76,26.83,14.9,-24.23
1653401302975,0.09,-0.31,2.5,-0.94,1.93,11.57,33.83,15.07,-23.88
1653401302981,0.04,-0.42,2.29,-1.02,1.93,11.48,39.92,15.25,-23.43
1653401302985,-0.02,-0.48,2.15,-1.27,2,11.26,44.43,15.35,-22.76
1653401302990,-0.18,-0.46,2,-1.44,2.09,11.02,47.02,15.39,-22.31
1653401302995,-0.37,-0.42,1.76,-1.58,2.16,10.76,48.81,14.97,-21.33
1653401302999,-0.49,-0.37,1.54,-1.73,2.2,10.44,48.7,13.74,-20.14
1653401303004,-0.62,-0.35,1.25,-1.88,2.23,10.21,46.88,12.41,-19.3
1653401303009,-0.79,-0.35,0.92,-2.09,2.25,9.79,43.94,10.73,-18.88
1653401303014,-0.94,-0.36,0.61,-2.16,2.25,9.58,40.58,8.25,-18.77
1653401303019,-1.06,-0.38,0.31,-2.32,2.24,9.25,37.92,5.9,-18.84
1653401303023,-1.18,-0.42,0.05,-2.42,2.25,9.02,33.83,1.32,-18.53
1653401303028,-1.26,-0.42,-0.19,-2.51,2.27,8.88,31.52,-1.73,-18.39
1653401303033,-1.36,-0.43,-0.35,-2.62,2.29,8.76,27.91,-7.01,-17.76
1653401303038,-1.46,-0.42,-0.47,-2.79,2.26,8.69,25.08,-10.97,-16.88
1653401303043,-1.6,-0.46,-0.56,-3.02,2.24,8.63,22.35,-14.68,-15.73
1653401303047,-1.82,-0.49,-0.61,-3.24,2.22,8.62,19.93,-17.37,-13.77
1653401303052,-2.04,-0.52,-0.63,-3.36,2.19,8.62,17.52,-19.44,-11.18
1653401303057,-2.23,-0.57,-0.64,-3.55,2.12,8.63,15.1,-21.08,-7.89
1653401303061,-2.38,-0.64,-0.64,-3.64,2.06,8.68,13.21,-22.1,-4.35
1653401303067,-2.53,-0.7,-0.58,-3.72,2.02,8.73,11.39,-22.66,-0.36
1653401303071,-2.62,-0.75,-0.52,-3.71,1.99,8.72,10.06,-22.34,3.77
1653401303076,-2.65,-0.79,-0.51,-3.57,1.97,8.64,8.84,-21.01,7.79
1653401303081,-2.56,-0.8,-0.58,-3.35,1.97,8.7,8.07,-19.05,11.71
1653401303085,-2.38,-0.83,-0.57,-3.17,1.99,8.77,7.58,-17.37,14.16
1653401303091,-2.15,-0.81,-0.48,-2.78,2.03,8.87,7.02,-15.38,18.36
1653401303095,-1.86,-0.78,-0.39,-2.48,2.07,8.92,6.67,-13.94,20.95
1653401303100,-1.56,-0.74,-0.33,-2.3,2.12,8.99,6.35,-12.86,22.32
1653401303105,-1.31,-0.7,-0.26,-2,2.19,9.12,6.18,-11.77,23.89
1653401303110,-1.07,-0.65,-0.16,-1.83,2.29,9.21,6.14,-11,24.56
1653401303115,-0.89,-0.57,-0.05,-1.64,2.33,9.28,6.7,-10.62,24.94
1653401303119,-0.71,-0.51,0.03,-1.49,2.39,9.32,7.37,-10.44,25.33
1653401303124,-0.57,-0.47,0.07,-1.38,2.44,9.33,8.42,-10.48,25.68
1653401303129,-0.46,-0.41,0.09,-1.28,2.51,9.3,9.29,-10.69,26.13
1653401303134,-0.35,-0.35,0.08,-1.15,2.6,9.22,10.66,-11.77,27.15
1653401303139,-0.25,-0.29,0.02,-1.04,2.65,9.13,11.18,-12.75,27.74
1653401303144,-0.17,-0.24,-0.05,-0.96,2.71,8.99,11.08,-14.22,28.69
1653401303148,-0.08,-0.19,-0.17,-0.94,2.8,8.87,9.99,-15.59,29.28
1653401303153,-0.06,-0.12,-0.3,-0.9,2.9,8.77,8.38,-16.36,30.02
1653401303158,-0.06,-0.04,-0.42,-0.88,2.97,8.73,6.39,-17.13,30.72
1653401303163,-0.05,0.05,-0.47,-0.79,3.03,8.75,5.06,-17.2,31.35
1653401303168,0,0.1,-0.47,-0.68,3.08,8.8,3.13,-16.81,32.19
1653401303173,0.07,0.16,-0.43,-0.62,3.11,8.83,2.4,-15.38,33.27
1653401303178,0.15,0.19,-0.38,-0.55,3.13,8.97,1.87,-14.33,33.69
1653401303182,0.2,0.2,-0.26,-0.51,3.18,9.22,1.24,-12.93,34.81
1653401303186,0.2,0.24,-0.07,-0.45,3.19,9.29,0.89,-12.19,35.48
1653401303192,0.27,0.27,0.07,-0.1,3.17,9.34,1.07,-9.67,35.44
1653401303196,0.5,0.25,0.11,0.21,3.18,9.36,1.38,-6.91,35.06
1653401303201,0.78,0.23,0.14,0.47,3.22,9.39,2.01,-3.9,33.94
1653401303206,1.05,0.26,0.16,0.62,3.29,9.39,2.36,-2.04,32.82
1653401303211,1.23,0.32,0.17,0.76,3.31,9.38,2.92,0.44,30.65
1653401303215,1.36,0.36,0.18,0.82,3.3,9.37,3.24,0.55,28.34
1653401303220,1.45,0.35,0.16,0.9,3.36,9.29,3.27,-0.89,25.33
1653401303225,1.51,0.37,0.11,0.89,3.41,9.2,3.06,-2.5,22.95
1653401303230,1.51,0.42,0.01,0.88,3.48,9.1,2.47,-5.47,19.34
1653401303234,1.49,0.5,-0.09,0.86,3.57,8.99,1.56,-8.27,15.95
1653401303240,1.45,0.58,-0.21,0.87,3.65,8.88,0.09,-10.76,11.78
1653401303244,1.43,0.66,-0.31,0.84,3.7,8.82,-0.96,-11.04,9.37
1653401303249,1.4,0.71,-0.38,0.79,3.72,8.88,-3.03,-10.97,5.59
1653401303253,1.33,0.74,-0.35,0.65,3.8,8.99,-5.23,-9.88,3.03
1653401303259,1.22,0.81,-0.26,0.48,3.84,9.24,-9.26,-4.04,-1.17
1653401303268,1.11,0.85,-0.15,0.43,3.84,9.33,-9.51,-3.13,-1.34
1653401303269,1,0.88,0.01,0.33,3.81,9.47,-9.82,-2.36,-1.62
1653401303273,0.9,0.87,0.18,0.23,3.75,9.65,-10.17,1.18,-2.53
1653401303278,0.78,0.82,0.36,0.13,3.66,9.84,-9.54,5.2,-2.92
1653401303282,0.68,0.74,0.54,-0.04,3.57,9.98,-7.86,7.93,-2.88
1653401303287,0.55,0.67,0.7,-0.15,3.48,10.09,-5.16,9.12,-2.81
1653401303292,0.42,0.57,0.81,-0.27,3.41,10.11,-2.26,8.88,-2.71
1653401303298,0.29,0.48,0.87,-0.39,3.31,10.06,0.86,7.44,-2.78
1653401303301,0.19,0.39,0.84,-0.49,3.26,9.96,3.69,5.1,-3.2
1653401303307,0.09,0.32,0.76,-0.59,3.23,9.84,5.83,1.46,-3.51
1653401303311,0,0.28,0.64,-0.68,3.2,9.67,7.16,-2.29,-3.83
1653401303316,-0.11,0.25,0.49,-0.72,3.17,9.55,7.58,-5.23,-4.35
1653401303321,-0.17,0.2,0.32,-0.74,3.08,9.33,7.4,-8.94,-5.02
1653401303326,-0.19,0.13,0.14,-0.75,3.05,9.13,6.56,-11.18,-5.58
1653401303331,-0.23,0.08,-0.03,-0.79,3,9.06,5.62,-12.44,-6
1653401303336,-0.27,0.03,-0.17,-0.9,2.95,8.96,4.08,-13.77,-6.42
1653401303340,-0.35,-0.01,-0.24,-0.94,2.91,8.96,2.71,-14.57,-6.49
1653401303345,-0.43,-0.07,-0.27,-1.1,2.83,8.96,1.31,-15.31,-6.63
1653401303350,-0.57,-0.13,-0.28,-1.23,2.74,9,-0.37,-15.45,-5.96
1653401303355,-0.69,-0.21,-0.25,-1.33,2.7,9.03,-0.82,-15.06,-4.91
