time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1664105324052,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105324070.8,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105324084.4,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324101.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324117.7,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324134.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324151.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324167.6,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105324184.6,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324201.2,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105324217.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324234.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324252.4,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324267.7,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105324284.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324301.1,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105324318.3,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324334.6,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324351.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324367.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324384.5,0,0,0.1,0,2.2,9.6,0.1,0.2,0,x
1664105324407.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324417.9,0,0,0,0,2.2,9.6,0.1,0.2,0.1,x
1664105324434.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324451.7,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105324469.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324484.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105324501.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324517.9,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324534.5,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324551.3,0,0,0,0,2.2,9.6,0,0.2,0.1,x
1664105324567.7,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324584.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324601.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324617.9,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105324634.5,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105324651,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105324667.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324684.5,0,0,0,0,2.2,9.6,0,0.2,0.1,x
1664105324701.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324717.9,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105324734.5,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105324751.3,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105324767.7,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105324784.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324801.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324817.8,0,0,0.1,0,2.2,9.6,0,0.2,0.1,x
1664105324834.4,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105324851.2,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105324867.7,0,0,0.1,0,2.2,9.6,0,0.2,0.1,x
1664105324884.3,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105324901.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324918.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324934.4,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105324951.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324982.3,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324984.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105325007,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105325017.6,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325034.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325051,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325067.6,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325084.2,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325102.6,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325117.9,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105325134.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105325151.1,0,0,0,0,2.2,9.6,0.1,0.2,0.1,x
1664105325167.7,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105325184.5,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325201.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105325218.3,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325234.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325251.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325267.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325284.4,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105325301,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325317.8,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105325334.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105325351.2,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105325367.7,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325384.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325401.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325419.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325434.9,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325450.9,0,0,0,0,2.2,9.6,0.1,0,0,x
1664105325467.7,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325484.3,0,0,0,0,2.2,9.6,0.1,0,0.1,x
1664105325502.2,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105325518.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325534.5,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325551.2,0,0,0,0,2.2,9.6,0,0,0,x
1664105325567.7,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325584.4,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105325602.5,0,0,0.1,0,2.2,9.6,0,0.2,0,x
1664105325617.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325634.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325651,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105325667.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325710.3,0,0,0,0,2.2,9.6,0.1,0,0.1,x
1664105325722.1,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105325734.2,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325750.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325770,0,0,0,0,2.2,9.6,0.1,0,0.1,x
1664105325784.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105325801,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105325818,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105325834.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105325851,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325867.7,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105325884.2,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105325901.8,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325927.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105325934.8,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105325950.9,0,0,0,0,2.2,9.6,0,0,0,x
1664105325967.6,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105325984.3,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105326002.6,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105326018.1,0,0,0.1,0,2.2,9.6,-0.1,0,0.1,x
1664105326034.4,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326051.1,0,0,0,0,2.2,9.6,0,0,0.1,x
1664105326067.7,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326085.2,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326101.1,0,0,0,0,2.2,9.6,0,0,0,x
1664105326118.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105326134.4,0,0,0,0,2.2,9.6,0,0,0,x
1664105326151.2,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326167.6,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326184.5,0,0,0,0,2.2,9.6,0,0,0,x
1664105326202.4,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326218.4,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105326234.4,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326251.2,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326267.7,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326284.4,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105326301.3,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105326318.3,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105326334.4,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105326362.7,0,0,0,0,2.2,9.6,0.1,0,0,x
1664105326372,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105326384.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105326401,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326417.8,0,0,0,0,2.2,9.6,0,0,0,x
1664105326434.4,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326451.6,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105326467.7,0,0,0,0,2.2,9.6,0,0,0,x
1664105326484.4,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326501.2,0,0,0,0,2.2,9.6,0,0,0,x
1664105326518.4,0,0,0,0,2.2,9.6,0,0,0,x
1664105326534.4,0,0,0,0,2.2,9.6,0.1,0,0,x
1664105326551.1,0,0,0.1,0,2.2,9.6,0,-0.1,0.1,x
1664105326567.7,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326584.4,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326601,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105326617.8,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326634.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326650.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105326667.5,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105326684.5,0,0,0,0,2.2,9.6,0,0,0,x
1664105326701.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326717.8,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326734.4,0,0,0,0,2.2,9.6,0,0,0.1,x
1664105326751.1,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326767.7,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326784.4,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105326801.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326818.1,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105326834.5,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105326867,0,0,0,0,2.2,9.6,0,0,0,x
1664105326884.4,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105326901,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105326917.7,0,0,0,0,2.2,9.6,0,0,0,x
1664105326934.3,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105326951,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105326967.4,0,0,0,0,2.2,9.6,0,0,0,x
1664105326984.4,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327001,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327017.9,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327034.4,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105327051.5,0,0,0,0,2.2,9.6,0.1,0,0.1,x
1664105327067.6,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327084.3,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105327100.9,0,0,0,0,2.2,9.6,0,0,0.1,x
1664105327117.8,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327134.4,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105327151,0,0,0,0,2.2,9.6,0,0,0,x
1664105327167.6,0,0,0,0,2.2,9.6,0,0,0,x
1664105327184.4,0,0,0,0,2.2,9.6,0,0,0,x
1664105327201,0,0,0,0,2.2,9.6,0,0,0,x
1664105327217.6,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327234.5,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105327251.1,0,0,0,0,2.2,9.6,0,0,0,x
1664105327270.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105327284.4,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105327301,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105327318.3,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327334.3,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327352.8,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105327368.3,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327384.3,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105327401.6,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327417.5,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105327434.3,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105327450.9,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327467.7,0,0,0,0,2.2,9.6,0,0,0,x
1664105327484.3,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105327501,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105327517.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327534.3,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327550.9,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105327569.9,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327584.4,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327601.8,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327617.6,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105327634.6,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327651,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327667.6,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327684.3,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105327701,0,0,0,0,2.2,9.6,0.1,0,0,x
1664105327717.8,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327734.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105327751,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105327767.6,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105327830.5,0,0,0,0,2.2,9.6,0.1,0,0,x
1664105327855.4,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327867.5,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105327884.1,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327900.9,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327917.6,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105327934.2,0,0,0,0,2.2,9.6,0,0,0.1,x
1664105327951.8,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105327967.7,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105327984.3,0,0,0,0,2.2,9.6,0,0,0,x
