time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202433835,-0.4,0.1,0,-0.7,4.3,8.8,-2.3,-1.6,0.3,x
1655202433853.4,-0.2,-0.1,0.3,-0.5,4.1,9.1,-7.4,-4.8,3.9,x
1655202433871.7,-0.1,-0.2,0.3,-0.5,4.1,9.1,-5.1,-5.4,3.3,x
1655202433885.8,-0.1,-0.1,0,-0.4,4.2,8.8,2.7,-2.2,3,x
1655202433902.5,-0.1,0,-0.3,-0.4,4.2,8.5,5.8,0.8,3.5,x
1655202433919,0,0.1,-0.8,-0.4,4.3,8.1,4,3.4,4.8,x
1655202433935.5,0.1,0,-0.6,-0.3,4.3,8.3,-9,0.6,6.4,x
1655202433951.6,0.1,0,-0.2,-0.3,4.2,8.6,-13.4,-1,6.4,x
1655202433968.3,0.2,-0.1,0.5,-0.2,4.1,9.3,-14.1,-1.8,5.1,x
1655202433984.7,0.2,0,0.5,-0.1,4.1,9.4,-6.1,1,3.1,x
1655202434003.2,0.1,0.1,0.2,-0.2,4.2,9,1.3,6,2.1,x
1655202434018.2,0.1,0.1,0.1,-0.2,4.2,9,2,6.8,2.3,x
1655202434035.3,0.2,0.1,0,-0.2,4.2,8.9,-2.3,2.7,2.9,x
1655202434054.2,0.1,0,0.3,-0.2,4.1,9.2,-4.1,-1.3,2.6,x
1655202434068.3,0,0,0.4,-0.3,4.1,9.3,-3.7,-1.7,2.1,x
1655202434084.8,0,0,0.4,-0.3,4.1,9.3,-0.8,-0.8,2.5,x
1655202434101.8,0.1,0.1,0.4,-0.2,4.2,9.3,0.8,-0.2,3.2,x
1655202434118.5,0.2,0.1,0,-0.1,4.2,8.9,4.9,1.2,3.2,x
1655202434135.4,0.2,0.1,-0.3,-0.2,4.2,8.6,3.9,1.8,2.2,x
1655202434151.7,0.1,0,-0.2,-0.2,4.2,8.6,1.4,1.2,1.9,x
1655202434168.9,0.1,0,0,-0.3,4.1,8.9,-3.7,-1.3,2.2,x
1655202434185.1,0.2,0,0.3,-0.1,4.1,9.2,-2.8,-1.1,2.3,x
1655202434202.4,0.1,0,0.2,-0.2,4.1,9.1,1.1,1.9,1.1,x
1655202434218.5,0.1,0,0.1,-0.2,4.1,9,2.4,2.6,0.2,x
1655202434235,0.2,0.1,0,-0.1,4.2,8.9,2.3,1.1,0,x
1655202434267.6,0.2,0,0,-0.1,4.2,8.9,1.7,0.9,-1.2,x
1655202434268.2,0.2,0,0,-0.1,4.2,8.9,1.7,0.9,-1.2,x
1655202434286.9,0.2,0.1,0,-0.1,4.2,8.9,1.4,1.8,-1.6,x
1655202434304.6,-0.1,-0.1,0,-0.4,4.1,8.9,1.4,0.9,-1.8,x
1655202434318.4,-0.1,0,0.1,-0.4,4.2,8.9,-0.1,-0.9,-0.4,x
1655202434334.8,0,-0.1,0.2,-0.3,4.1,9.1,-1.2,-2.6,0.5,x
1655202434351.4,0.1,-0.1,0.2,-0.2,4.1,9.1,-0.1,-2.4,0.4,x
1655202434369.7,0.1,0,0,-0.2,4.1,8.9,4.3,-1.1,-1.9,x
1655202434384.8,-0.1,0,-0.4,-0.5,4.1,8.5,7.3,0.3,-3,x
1655202434401.3,-0.1,0.1,-0.6,-0.4,4.3,8.3,2.1,1,-0.9,x
1655202434418.3,-0.1,0.1,-0.6,-0.4,4.2,8.3,-1.1,0.9,-0.2,x
1655202434435.1,0,-0.1,-0.3,-0.3,4.1,8.5,-5.5,0.1,0.4,x
1655202434451.6,0,-0.1,-0.2,-0.2,4.1,8.8,-6.5,0.2,0.6,x
1655202434468.8,0.1,-0.1,0,-0.2,4.1,8.9,-5.2,0.1,-0.5,x
1655202434485,0,-0.1,0,-0.3,4.1,8.9,-3.4,1.8,-1,x
1655202434501.8,0,-0.1,0,-0.3,4.1,8.9,-3.1,2.8,-1.1,x
1655202434518.5,0,0,0,-0.3,4.1,8.9,-3.4,3,-1,x
1655202434537,-0.1,0,0.1,-0.4,4.2,9,-4.7,1.4,-0.8,x
1655202434552.1,-0.1,0.1,0.2,-0.4,4.1,9.1,-5.4,-1.1,0.9,x
1655202434568.7,0.1,0.1,0.3,-0.3,4.2,9.2,-5.6,-2,1.7,x
1655202434585,0.2,0.1,0.4,-0.2,4.1,9.3,-5.3,-0.3,1.1,x
1655202434601.6,0.1,0,0.4,-0.2,4.1,9.3,-3.6,0.5,-0.6,x
1655202434618.5,0,0,0.4,-0.4,4.1,9.3,-0.4,0.5,-1.7,x
1655202434634.9,-0.1,0.1,0.3,-0.5,4.2,9.2,-0.3,-0.7,-1.7,x
1655202434651.9,-0.2,0.1,0.4,-0.5,4.2,9.3,-1.5,-1.8,-1.3,x
1655202434668.7,-0.1,0.2,0.6,-0.4,4.3,9.5,-2.1,-5.1,1.3,x
1655202434685.1,0.2,0.1,0.5,-0.1,4.2,9.4,2.8,-5.6,2.3,x
1655202434701.8,0.2,0.1,0.3,-0.1,4.1,9.2,7.5,-5,0.7,x
1655202434718.3,0.1,0.1,-0.1,-0.2,4.1,8.8,10.4,-2.4,-3.3,x
1655202434735,-0.2,0.1,-0.3,-0.5,4.2,8.6,9,0.3,-2.6,x
1655202434751.8,-0.2,0,-0.4,-0.4,4.2,8.5,7,0.7,-0.9,x
1655202434768.7,0,0,-0.4,-0.3,4.2,8.5,3,-0.3,1.1,x
1655202434785,0,0,-0.3,-0.2,4.1,8.6,0.7,-1.4,0.9,x
1655202434801.8,0,0,-0.1,-0.2,4.1,8.7,-1.1,-1.3,0.4,x
1655202434818.5,0.1,0,0,-0.2,4.1,8.9,-1.4,-1,-0.6,x
1655202434835.2,0.1,0,0,-0.2,4.1,8.9,1.5,0.2,-1.5,x
1655202434851.7,0,0,-0.1,-0.3,4.1,8.8,2.7,1.1,-1.9,x
1655202434868.3,-0.1,0,-0.2,-0.4,4.2,8.7,1.9,2.3,-1.5,x
