time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434038490,-0.72,-0.4,-0.27,1.65,-3.23,-9.36,-68.14,132.02,-23.66,x
1658434038506,-0.71,-0.26,0.13,2.11,-2.83,-8.9,-79.67,134.27,-18.32,x
1658434038523,-0.18,-0.16,0.33,2.95,-2.53,-8.66,-76.89,117.49,-14.09,x
1658434038540,-0.3,-0.31,0.18,3.09,-2.51,-8.76,-61.55,96.1,-15.31,x
1658434038556,-0.17,-0.3,-0.43,3.49,-2.32,-9.3,-40.11,77.09,-12.88,x
1658434038573,-0.01,0.21,0.29,3.83,-1.72,-8.53,-34.17,65.1,-11.52,x
1658434038590,0.1,0.19,0.55,4.07,-1.65,-8.23,-25.57,46.07,-10.76,x
1658434038606,0.33,0.14,0.7,4.4,-1.64,-8.04,-7.92,10.15,-7.15,x
1658434038623,0.74,0.45,0.53,4.8,-1.32,-8.22,7.27,-14.77,-1.94,x
1658434038640,0.88,0.66,0.37,4.88,-1.15,-8.39,21.69,-37.37,3.14,x
1658434038655,1.13,0.85,0.44,5.01,-1.03,-8.37,33.95,-66.1,9.41,x
1658434038673,1.22,0.75,0.71,4.81,-1.28,-8.19,52.48,-111.34,13.87,x
1658434038690,1.09,0.47,0.6,4.39,-1.71,-8.38,69.17,-142.94,11.04,x
1658434038706,0.69,-0.11,0.73,3.46,-2.54,-8.36,81.21,-181.01,2.69,x
1658434038723,0.63,-0.16,0.73,2.96,-2.78,-8.43,77.58,-192.29,-4.27,x
1658434038740,0.62,-0.06,0.42,2.5,-2.85,-8.8,65.34,-182.1,-10.56,x
1658434038756,0.45,0.34,-0.47,1.8,-2.62,-9.72,46.39,-149.55,-7.52,x
1658434038773,0.06,0.52,-0.64,1.1,-2.53,-9.9,30.17,-116.86,-5.02,x
1658434038790,-0.32,0.06,-0.59,0.48,-3.05,-9.85,12.53,-76.49,-3.83,x
1658434038806,-0.21,-0.1,-0.84,0.43,-3.22,-10.12,-2.36,-23.66,7.78,x
1658434038823,-0.7,-0.03,0.1,-0.09,-3.13,-9.18,-8.37,-3.35,5.1,x
1658434038840,-0.96,-0.41,0.6,-0.36,-3.5,-8.69,-10.96,5.22,0.42,x
1658434038856,-0.68,-0.58,0.84,-0.05,-3.63,-8.46,-9.38,10.59,-2.05,x
1658434038873,-0.7,-0.55,0.63,-0.03,-3.59,-8.68,-2.32,12.42,-5.18,x
1658434038890,-0.61,-0.5,0.27,0.09,-3.54,-9.03,7.06,15.97,-7.26,x
1658434038906,-0.36,-0.25,0.09,0.41,-3.32,-9.2,11.39,19.19,-9.32,x
1658434038923,-0.19,-0.26,0.71,0.64,-3.35,-8.56,6.75,19.56,-10.32,x
1658434038940,-0.18,-0.33,0.7,0.71,-3.43,-8.57,0.64,19.26,-10.18,x
1658434038956,-0.01,-0.16,0.3,0.93,-3.25,-8.96,-3.95,9.12,-8.2,x
1658434038973,0.26,-0.09,0.46,1.21,-3.16,-8.8,-3.6,-5.3,-9.07,x
1658434038990,0.16,-0.3,0.53,1.09,-3.37,-8.74,-2.23,-19.35,-11.82,x
1658434039006,0.03,-0.41,0.26,0.89,-3.47,-9.02,-0.05,-37,-15.57,x
1658434039023,0.06,-0.1,-0.09,0.83,-3.16,-9.37,3.32,-40.14,-17.68,x
1658434039040,0.21,0.07,-0.48,0.9,-3,-9.77,7.91,-40.1,-19.58,x
1658434039056,0.43,0.11,-0.17,1,-2.98,-9.46,4.12,-48.54,-24.16,x
1658434039073,0.37,0.31,0.22,0.84,-2.77,-9.08,-1.28,-50.28,-20.9,x
1658434039090,0.36,0.45,-0.13,0.73,-2.63,-9.44,-3.16,-40.72,-15.7,x
1658434039106,0.31,0.54,-0.76,0.59,-2.53,-10.07,1.18,-24.61,-10.99,x
1658434039123,0.46,1.01,-1.07,0.7,-2.08,-10.37,8.24,-16.82,-4.94,x
1658434039139,0.66,0.72,-0.77,0.86,-2.38,-10.07,9.99,-17.19,-3.52,x
1658434039156,0.55,-0.06,0.08,0.69,-3.2,-9.21,9.22,-22.92,-6.02,x
1658434039173,0.51,0.1,0.25,0.59,-3.06,-9.03,13.88,-32.78,-6.77,x
1658434039190,0.46,0.3,0.18,0.46,-2.91,-9.09,22.96,-41.33,-5.44,x
1658434039206,0.57,0.52,0.05,0.42,-2.78,-9.18,34.02,-56.65,-2.88,x
1658434039223,0.68,0.34,0.12,0.38,-3.05,-9.08,35.87,-60.21,5.83,x
1658434039240,0.52,0.26,-0.05,0.06,-3.21,-9.21,31.95,-67.11,11.95,x
1658434039256,-1.31,0.21,1.15,-2.02,-3.34,-7.97,19.52,-82.49,3.13,x
1658434039273,0.36,0.05,-0.07,-0.54,-3.53,-9.15,14.05,-77.77,6.11,x
1658434039290,0.42,-0.14,0.1,-0.66,-3.75,-8.96,3.58,-76.37,3.93,x
1658434039306,0.32,-0.12,1.08,-1.03,-3.72,-7.95,-8.49,-83.27,7.21,x
1658434039323,0.29,0.25,0.98,-1.27,-3.32,-8.02,-4.76,-98.86,9.99,x
1658434039340,0.24,0.37,0.69,-1.58,-3.19,-8.26,5.04,-110.32,6.87,x
1658434039356,0.13,0.11,-0.26,-2.04,-3.49,-9.12,23.54,-97.3,7.53,x
1658434039373,0.51,0.4,-1.3,-1.86,-3.27,-10.08,39.73,-72.18,13.29,x
1658434039390,0.6,0.41,-1.08,-1.93,-3.35,-9.77,46.38,-60.98,8.85,x
1658434039406,-0.59,0.02,0.11,-3.31,-3.86,-8.47,26.46,-60.2,4.21,x
1658434039423,-0.27,-0.85,0.27,-3.11,-4.75,-8.27,-6.62,-39.75,-0.28,x
1658434039440,0.06,-0.55,0.78,-2.8,-4.4,-7.77,-42.47,14.44,-7.7,x
1658434039456,0.39,-0.29,1.66,-2.46,-3.96,-6.98,-73.97,-31.38,-15.1,x
1658434039473,-0.34,-0.26,0.54,-3.22,-3.79,-8.14,-65.15,-14.14,-26.39,x
1658434039490,-0.82,-0.51,-1.8,-3.69,-3.93,-10.52,-44.3,-5.69,-31.28,x
1658434039506,0.13,-0.8,-1.66,-2.73,-4.17,-10.41,-5.58,-7.67,-22.76,x
1658434039523,0.57,-0.63,-1.38,-2.3,-4.04,-10.11,23.78,-7.33,-10.15,x
1658434039540,0.78,-0.54,-1.26,-2.08,-4.03,-9.97,36.84,15.93,2.46,x
1658434039561,0.82,-0.92,-0.5,-1.97,-4.5,-9.19,27.85,35.57,15.36,x
1658434039573,0.72,-0.79,0.53,-2,-4.4,-8.18,15.53,40.63,22.46,x
1658434039590,0.76,-0.55,0.31,-1.88,-4.18,-8.41,8.29,36.5,27.53,x
1658434039606,0.85,-0.28,-0.2,-1.75,-3.89,-8.94,-0.25,13.27,36.13,x
1658434039623,0.4,-0.07,-0.79,-2.23,-3.66,-9.53,5.88,5.38,34.52,x
1658434039640,-0.2,-0.1,-1.42,-2.83,-3.69,-10.16,8.18,17.94,27.71,x
1658434039656,-0.27,-0.03,-1.35,-2.81,-3.65,-10.11,31.71,54.02,4.64,x
1658434039673,-0.98,0.05,-0.86,-3.4,-3.67,-9.61,53.91,56.22,-8.33,x
1658434039690,-0.51,0.27,-1.72,-2.79,-3.6,-10.44,73.15,57.06,-6.23,x
1658434039706,-0.57,0.4,-2.08,-2.66,-3.74,-10.72,93.21,59.98,0,x
1658434039723,-0.57,0.28,0.56,-2.55,-4.05,-8.01,81.04,49.25,4.77,x
1658434039740,-0.45,0.35,0.66,-2.33,-4.15,-7.86,64.3,45.36,7.24,x
1658434039756,-0.01,0.44,0.95,-1.77,-4.21,-7.5,53.25,47.44,8.75,x
1658434039776,0.1,0.5,0.27,-1.56,-4.27,-8.14,55.47,49.34,9.95,x
1658434039790,0.14,0.57,0.23,-1.43,-4.32,-8.13,58.02,47.24,11.71,x
1658434039806,0.24,0.64,0.55,-1.22,-4.41,-7.73,53.57,39.77,12.91,x
1658434039823,0.35,0.53,1,-1.05,-4.62,-7.23,42.73,34.55,14.05,x
1658434039840,0.29,0.41,1.06,-1.06,-4.81,-7.13,29.31,30.15,16.35,x
1658434039856,0.29,0.07,0.97,-1.02,-5.2,-7.19,20.03,27.65,18.47,x
1658434039873,0.23,0.04,0.41,-1.03,-5.27,-7.74,18.85,35.42,18.65,x
1658434039890,0.02,0.03,0.07,-1.17,-5.32,-8.06,25.81,49.37,18.01,x
1658434039906,0.14,0.1,-0.41,-0.94,-5.33,-8.5,36.35,54.37,22.62,x
1658434039923,0.35,0.34,0.13,-0.66,-5.17,-7.92,36.39,50.17,26.03,x
1658434039940,0.16,0.38,0.41,-0.78,-5.18,-7.61,29.86,42.52,25.41,x
1658434039956,-0.11,0.31,1.07,-1.02,-5.32,-6.91,14.57,21.65,26.32,x
1658434039973,-0.08,0.28,1.16,-0.99,-5.36,-6.81,3.27,8.5,28.97,x
1658434039991,0.03,0.22,0.94,-0.92,-5.4,-7.04,-4.07,-2.72,31.67,x
1658434040006,-0.09,0.24,0.63,-1.12,-5.36,-7.35,-5.54,-5.28,32.85,x
1658434040023,-0.35,0.31,0.1,-1.44,-5.28,-7.89,-1.45,0.18,30.24,x
1658434040040,-0.31,0.32,0.04,-1.43,-5.26,-7.95,2.01,2.95,28.79,x
1658434040056,-0.38,0.38,0.3,-1.55,-5.19,-7.68,1.82,2.53,27.08,x
1658434040073,-0.51,0.29,0.44,-1.71,-5.28,-7.55,-0.37,1.96,24.45,x
1658434040090,-0.52,0.27,0.54,-1.75,-5.28,-7.45,-5.07,0.65,22.21,x
1658434040106,-0.42,0.3,0.65,-1.7,-5.22,-7.36,-9.87,-0.21,22.71,x
1658434040123,-0.1,0.34,0.39,-1.41,-5.15,-7.63,-11.47,0.21,23.68,x
1658434040140,-0.16,0.38,0.32,-1.49,-5.08,-7.72,-12.93,3.61,21.68,x
1658434040156,-0.4,0.27,0.33,-1.77,-5.14,-7.73,-15.78,3.24,18.82,x
1658434040173,-0.32,0.21,0.16,-1.71,-5.15,-7.93,-16.92,0.9,18.01,x
1658434040190,-0.29,0.2,0.04,-1.7,-5.12,-8.08,-17.11,-1.31,17.14,x
1658434040206,-0.22,0.25,-0.08,-1.66,-5.01,-8.23,-14.94,-4.61,14.29,x
1658434040223,-0.24,0.25,-0.38,-1.72,-4.98,-8.54,-11.75,-6.44,11.74,x
1658434040240,-0.31,0.22,-0.31,-1.81,-4.98,-8.48,-9.4,-7.09,9.24,x
1658434040257,-0.42,0.21,-0.36,-1.96,-4.97,-8.54,-6.97,-4.88,5.95,x
1658434040273,-0.4,0.13,-0.41,-1.96,-5.04,-8.6,-3.61,-3.79,4.85,x
1658434040290,-0.45,0.19,-0.54,-2.01,-4.97,-8.73,0.43,-1,1.59,x
1658434040306,-0.76,0.05,-0.5,-2.32,-5.12,-8.68,4.5,4.93,-5.8,x
1658434040323,-0.72,0.13,-0.48,-2.25,-5.06,-8.66,7.82,7.66,-10.54,x
1658434040340,-0.46,0.26,-0.55,-1.96,-4.95,-8.72,11.89,6.12,-13.46,x
1658434040356,-0.17,0.31,-0.55,-1.63,-4.95,-8.7,15.62,2.5,-15.46,x
1658434040373,-0.17,0.27,-0.28,-1.6,-5.03,-8.4,14.36,1.88,-13.46,x
1658434040390,-0.19,0.14,-0.08,-1.61,-5.19,-8.19,10.32,1.55,-11.17,x
1658434040406,-0.14,-0.14,0.14,-1.53,-5.49,-7.96,3.7,3.59,-6.35,x
1658434040423,0.05,-0.1,0.09,-1.33,-5.45,-8.01,0.15,5.75,-2.79,x
1658434040440,-0.03,-0.1,0.01,-1.39,-5.46,-8.09,0.49,7.37,-3.61,x
1658434040456,-0.01,0.01,-0.37,-1.34,-5.36,-8.47,6.02,8.19,-4.84,x
1658434040473,0.1,0.09,-0.36,-1.21,-5.3,-8.45,9.7,6.41,-4.92,x
1658434040490,0.05,0.04,-0.24,-1.23,-5.37,-8.32,11.3,2.16,-7.56,x
1658434040506,0.16,0.28,0.11,-1.12,-5.16,-7.95,7.44,-4.58,-8.21,x
1658434040523,0.01,-0.01,0.24,-1.26,-5.47,-7.8,4.56,-6.18,-8.71,x
1658434040540,0.04,-0.09,0.19,-1.23,-5.55,-7.86,3.1,-5.96,-6.76,x
1658434040556,0.38,-0.04,0.1,-0.91,-5.52,-7.93,1.96,-5.38,0.26,x
1658434040573,0.25,-0.13,0.22,-1.05,-5.61,-7.81,0.38,-7.5,2.23,x
1658434040590,0.14,-0.1,0.23,-1.18,-5.57,-7.8,0.09,-8.74,1.92,x
1658434040606,0.05,-0.06,0.03,-1.3,-5.54,-8,1.89,-9.47,1.62,x
1658434040623,-0.04,0.03,0.11,-1.41,-5.45,-7.91,1.8,-8.28,0.93,x
1658434040640,-0.09,-0.03,0.33,-1.48,-5.51,-7.68,-1.75,-5.76,0.34,x
1658434040656,0.07,-0.04,0.6,-1.33,-5.51,-7.42,-7.57,-2.74,1.89,x
1658434040673,0.23,-0.05,0.47,-1.18,-5.5,-7.56,-8.77,-1.21,3.76,x
1658434040690,0.27,-0.04,0.35,-1.15,-5.46,-7.69,-10.11,-3.53,6.54,x
1658434040706,0.3,-0.1,0.4,-1.15,-5.49,-7.66,-12.56,-5.25,9.33,x
1658434040723,0.23,-0.07,0.18,-1.24,-5.43,-7.89,-12.03,-6.31,10.46,x
1658434040740,0.2,-0.02,0.12,-1.3,-5.35,-7.97,-12.02,-9.23,10.56,x
1658434040756,0.12,-0.04,0.2,-1.44,-5.33,-7.91,-15.84,-15.43,10.02,x
1658434040773,0.39,-0.03,0.31,-1.21,-5.28,-7.82,-19.85,-19.29,12.49,x
1658434040790,0.46,-0.11,0.26,-1.21,-5.3,-7.88,-21.57,-20.2,15.18,x
1658434040806,0.32,-0.11,0.12,-1.44,-5.23,-8.05,-22.87,-19.76,18.92,x
1658434040823,0.08,-0.23,0.21,-1.74,-5.29,-7.99,-24.64,-18.28,19.08,x
1658434040839,0.13,-0.2,0.2,-1.76,-5.2,-8.02,-25.18,-15.71,19.66,x
1658434040856,0.24,-0.11,0.04,-1.73,-5.03,-8.21,-24.41,-13.93,21.63,x
1658434040873,0.22,-0.05,0.22,-1.81,-4.9,-8.06,-25.86,-13.43,22.33,x
1658434040890,0.22,-0.01,0.27,-1.86,-4.79,-8.04,-28.93,-12.37,23.79,x
1658434040906,0.34,-0.12,0.4,-1.82,-4.79,-7.94,-33.31,-19.33,28.67,x
1658434040923,0.4,-0.03,0.42,-1.85,-4.61,-7.96,-36.81,-23.94,32.46,x
1658434040940,0.45,-0.02,0.29,-1.9,-4.49,-8.12,-38.09,-26.45,33.8,x
1658434040956,0.32,0,0.09,-2.15,-4.33,-8.35,-35.41,-23.83,31.22,x
1658434040973,-0.07,-0.02,-0.17,-2.62,-4.26,-8.63,-30.5,-18.98,26.78,x
1658434040990,-0.18,-0.03,-0.33,-2.79,-4.19,-8.82,-23.65,-13.11,21.31,x
1658434041006,-0.4,-0.05,-0.4,-3.07,-4.14,-8.91,-15.81,-5.97,15.42,x
1658434041023,-0.48,0.04,-0.35,-3.18,-4.01,-8.87,-12.12,-1.79,13.15,x
1658434041040,-0.51,0.03,-0.3,-3.21,-3.99,-8.83,-9.48,2.8,10.81,x
1658434041056,-0.5,0.12,-0.45,-3.2,-3.87,-8.99,-4.25,7.77,7.27,x
1658434041074,-0.4,0.25,-0.34,-3.09,-3.72,-8.89,-1.64,7.75,5.53,x
1658434041089,-0.42,0.27,-0.24,-3.09,-3.7,-8.8,-1.26,6.76,2.97,x
1658434041106,-0.42,0.22,-0.07,-3.08,-3.74,-8.63,-1.83,5.1,-0.68,x
1658434041122,-0.32,0.12,-0.12,-2.97,-3.84,-8.69,-1.44,4.78,-2,x
1658434041140,-0.23,0.08,-0.17,-2.86,-3.88,-8.74,0.08,3.78,-1.94,x
1658434041156,-0.14,-0.01,-0.23,-2.77,-3.98,-8.81,3.07,4.19,-2.24,x
1658434041173,-0.06,-0.04,-0.3,-2.67,-4.02,-8.87,5.97,7.17,-2.65,x
1658434041190,0.05,-0.05,-0.37,-2.53,-4.04,-8.94,9.78,11.02,-2.39,x
1658434041206,0.1,-0.06,-0.38,-2.44,-4.1,-8.95,15.67,18.06,-3.44,x
1658434041223,-0.16,-0.21,-0.37,-2.65,-4.3,-8.93,20.89,24.77,-7.06,x
1658434041240,-0.1,0.04,-0.36,-2.51,-4.1,-8.92,25.2,32.63,-8.65,x
1658434041256,-0.19,-0.15,-0.24,-2.48,-4.38,-8.79,29.54,42.37,-10.35,x
1658434041273,-0.09,-0.08,-0.25,-2.26,-4.39,-8.79,33.22,47.13,-11.8,x
1658434041290,-0.12,-0.08,-0.26,-2.18,-4.47,-8.78,35.47,46.39,-10.91,x
1658434041306,0.09,0.07,0,-1.82,-4.42,-8.5,32.09,38.88,-9.85,x
1658434041323,0.13,-0.02,0.32,-1.7,-4.59,-8.17,26.29,32.39,-7.14,x
1658434041340,0.25,0.04,0.34,-1.51,-4.59,-8.13,22.04,24.64,-4.34,x
1658434041356,0.37,0.06,0.27,-1.33,-4.62,-8.18,16.46,13.65,2.8,x
1658434041373,0.43,0.07,0.57,-1.25,-4.64,-7.87,8.94,4.07,7.54,x
1658434041390,0.37,0,0.71,-1.32,-4.72,-7.73,1.22,-2.75,10.12,x
1658434041406,0.26,0.07,0.57,-1.46,-4.63,-7.86,-3.56,-3.93,11.25,x
1658434041423,0.01,0.07,0.25,-1.73,-4.62,-8.19,-2.51,-0.94,10.12,x
1658434041440,-0.04,0.07,0.1,-1.79,-4.61,-8.34,0.35,1.11,9.16,x
1658434041456,-0.11,0.17,0.09,-1.87,-4.51,-8.34,2.05,1.72,7.73,x
1658434041473,-0.26,0.14,0.23,-2.03,-4.54,-8.2,0.8,1.15,6.75,x
1658434041490,-0.21,0.18,0.22,-1.99,-4.5,-8.21,-0.87,-0.29,6.97,x
1658434041506,-0.2,0.24,0.17,-1.99,-4.43,-8.27,-3.12,-2.94,7.06,x
1658434041523,-0.23,0.22,0.03,-2.04,-4.44,-8.41,-3.13,-5.41,5.25,x
1658434041540,-0.27,0.21,-0.05,-2.1,-4.45,-8.48,-1.62,-7.72,3.24,x
1658434041556,-0.28,0.2,-0.08,-2.14,-4.45,-8.51,-0.57,-9.9,1.07,x
1658434041573,-0.26,0.17,-0.1,-2.14,-4.48,-8.53,0.1,-9.09,-0.59,x
1658434041590,-0.23,0.14,-0.15,-2.12,-4.51,-8.57,1.55,-8.35,-1.88,x
1658434041606,-0.25,0.1,-0.08,-2.17,-4.56,-8.5,1.41,-7.86,-1.83,x
1658434041623,-0.12,0.11,0.06,-2.05,-4.55,-8.35,0.42,-9.46,-1.49,x
1658434041640,-0.09,0.05,0.12,-2.05,-4.6,-8.29,-2.02,-10.71,-1.98,x
1658434041656,-0.06,0.03,0.1,-2.04,-4.62,-8.31,-2.64,-10.25,-2.7,x
1658434041673,0,-0.04,-0.02,-2,-4.69,-8.42,-1.79,-10.2,-2.46,x
1658434041690,0.08,-0.02,-0.01,-1.94,-4.66,-8.41,-2.27,-11.75,-0.38,x
1658434041706,0.34,0.01,0.12,-1.73,-4.62,-8.27,-4.89,-16.17,2.89,x
1658434041723,0.28,-0.15,0.15,-1.83,-4.77,-8.24,-6.71,-18.28,4.73,x
1658434041740,0.26,-0.1,0.11,-1.91,-4.69,-8.28,-6.97,-20.22,5.24,x
1658434041756,0.19,-0.11,0.12,-2.03,-4.68,-8.27,-7.18,-17.93,5.5,x
1658434041773,0.14,-0.15,0.06,-2.12,-4.7,-8.32,-5.55,-15.31,5,x
1658434041790,0.23,-0.12,0.06,-2.08,-4.66,-8.32,-2.84,-11.85,5.14,x
1658434041806,0.24,-0.13,0.04,-2.1,-4.66,-8.34,-2.79,-6.02,7.3,x
1658434041823,0.05,-0.19,0.16,-2.31,-4.71,-8.22,-3.75,-2.83,6.88,x
1658434041840,-0.04,-0.18,0.11,-2.41,-4.69,-8.27,-3.53,-2.74,4.61,x
1658434041856,-0.06,-0.02,0.03,-2.44,-4.52,-8.35,-2.27,-2.87,2.71,x
1658434041873,0.06,0.05,0.04,-2.33,-4.44,-8.34,-1.85,-2.96,3.07,x
1658434041890,0.02,0,0.05,-2.38,-4.49,-8.33,-1.56,-2.18,3.17,x
1658434041906,-0.02,0.05,0.06,-2.43,-4.43,-8.33,-1.07,-0.4,2.73,x
1658434041923,-0.09,0.04,0.06,-2.5,-4.44,-8.33,-0.64,0.74,1.98,x
1658434041940,-0.12,0.04,0.03,-2.53,-4.43,-8.36,-0.16,1.12,0.5,x
1658434041956,-0.17,0.06,0.07,-2.58,-4.41,-8.32,-1.49,0.07,-0.34,x
1658434041973,-0.16,0.04,0.17,-2.56,-4.43,-8.22,-2.95,-1.02,-0.72,x
1658434041990,-0.07,0.05,0.04,-2.48,-4.41,-8.35,-2.77,-0.51,-0.61,x
1658434042007,-0.07,0.06,-0.03,-2.47,-4.39,-8.43,-1.47,-0.17,-0.71,x
1658434042023,-0.04,0.05,-0.09,-2.44,-4.4,-8.49,-0.32,-0.09,-0.95,x
1658434042040,-0.1,0.02,0.01,-2.51,-4.44,-8.39,-0.55,-0.51,-1.44,x
1658434042056,-0.09,0.08,0.08,-2.5,-4.37,-8.32,-1.51,-0.42,-2.57,x
1658434042073,-0.07,-0.07,0.01,-2.47,-4.52,-8.39,-1,0.45,-3.06,x
1658434042090,0.04,-0.03,-0.01,-2.36,-4.48,-8.41,0.16,1.35,-2.88,x
1658434042106,0.04,-0.09,0.01,-2.35,-4.55,-8.4,0.68,2.25,-1.96,x
1658434042123,0.22,-0.02,0.01,-2.16,-4.48,-8.39,0.79,1.16,-0.02,x
1658434042140,0.06,-0.05,0.14,-2.32,-4.51,-8.27,-1.73,-0.81,1.05,x
1658434042156,0.15,-0.02,0.17,-2.24,-4.48,-8.24,-2.63,-2.79,0.33,x
1658434042173,0.14,-0.03,-0.01,-2.25,-4.48,-8.41,-1.83,-1.83,2.39,x
1658434042190,-0.01,-0.2,-0.03,-2.41,-4.64,-8.43,0.01,-0.45,0.35,x
1658434042206,0,-0.06,-0.03,-2.4,-4.5,-8.43,1.07,0.84,0.6,x
1658434042223,0.08,-0.03,0.11,-2.32,-4.48,-8.3,0.45,0.25,1.04,x
1658434042240,0.14,-0.03,0.13,-2.26,-4.47,-8.27,-1.2,-0.69,2.13,x
