time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653402201095,84.2,16.04,-6.5
1653402201096,84.08,16.03,-6.88
1653402201097,83.61,16.04,-7.91
1653402201097,83.94,16.03,-7.26
1653402201097,83.42,16.06,-8.18
1653402201097,83.78,16.03,-7.6
1653402201104,83.23,16.08,-8.41
1653402201104,83.02,16.12,-8.57
1653402201104,82.81,16.17,-8.69
1653402201105,81.93,16.41,-8.6
1653402201105,82.37,16.28,-8.74
1653402201105,82.15,16.34,-8.69
1653402201105,82.59,16.22,-8.74
1653402201109,81.71,16.48,-8.47
1653402201110,81.48,16.56,-8.3
1653402201114,81.26,16.66,-8.09
1653402201117,81.04,16.76,-7.86
1653402201124,80.83,16.88,-7.61
1653402201127,80.62,17.01,-7.36
1653402201133,80.43,17.16,-7.12
1653402201138,80.25,17.31,-6.88
1653402201142,80.09,17.48,-6.67
1653402201147,79.93,17.66,-6.47
1653402201151,79.78,17.86,-6.31
1653402201157,79.63,18.06,-6.17
1653402201161,79.49,18.27,-6.06
1653402201165,79.34,18.48,-5.98
1653402201170,79.2,18.7,-5.91
1653402201176,79.06,18.92,-5.86
1653402201182,78.92,19.13,-5.82
1653402201186,78.78,19.34,-5.79
1653402201191,78.65,19.54,-5.76
1653402201205,78.52,19.73,-5.73
1653402201206,78.26,20.05,-5.65
1653402201206,78.39,19.9,-5.69
1653402201210,78.14,20.18,-5.6
1653402201221,78.02,20.27,-5.53
1653402201223,77.9,20.34,-5.44
1653402201228,77.79,20.38,-5.35
1653402201229,77.69,20.39,-5.25
1653402201236,77.6,20.38,-5.14
1653402201238,77.53,20.36,-5.03
1653402201241,77.47,20.32,-4.94
1653402201246,77.43,20.27,-4.87
1653402201251,77.42,20.22,-4.82
1653402201256,77.41,20.17,-4.81
1653402201262,77.42,20.14,-4.82
1653402201265,77.43,20.13,-4.83
1653402201270,77.44,20.17,-4.85
1653402201275,77.45,20.24,-4.85
1653402201281,77.45,20.36,-4.84
1653402201285,77.44,20.51,-4.82
1653402201290,77.42,20.69,-4.79
1653402201294,77.4,20.91,-4.73
1653402201301,77.36,21.13,-4.64
1653402201304,77.33,21.37,-4.53
1653402201308,77.29,21.62,-4.4
1653402201313,77.26,21.85,-4.25
1653402201318,77.23,22.07,-4.09
1653402201323,77.2,22.26,-3.91
1653402201337,77.16,22.43,-3.71
1653402201338,77.14,22.57,-3.48
1653402201340,77.12,22.68,-3.24
1653402201346,77.11,22.77,-2.99
1653402201352,77.13,22.83,-2.74
1653402201353,77.17,22.87,-2.5
1653402201359,77.23,22.89,-2.26
1653402201365,77.3,22.89,-2.02
1653402201366,77.39,22.88,-1.77
1653402201371,77.47,22.88,-1.51
1653402201376,77.55,22.89,-1.23
1653402201380,77.61,22.93,-0.91
1653402201385,77.65,22.98,-0.58
1653402201392,77.69,23.04,-0.24
1653402201395,77.71,23.1,0.07
1653402201399,77.73,23.16,0.35
1653402201405,77.75,23.2,0.58
1653402201408,77.75,23.23,0.75
1653402201413,77.76,23.25,0.85
1653402201419,77.76,23.26,0.89
1653402201426,77.76,23.25,0.87
1653402201429,77.76,23.22,0.79
1653402201435,77.77,23.18,0.67
1653402201439,77.78,23.14,0.52
1653402201443,77.8,23.09,0.35
1653402201448,77.83,23.05,0.16
1653402201452,77.89,23.02,-0.03
1653402201458,77.97,23.01,-0.23
1653402201463,78.08,23.02,-0.41
1653402201467,78.21,23.06,-0.57
1653402201474,78.36,23.14,-0.71
1653402201477,78.55,23.25,-0.82
1653402201482,78.75,23.39,-0.91
1653402201486,78.96,23.55,-0.98
1653402201490,79.18,23.74,-1.03
1653402201496,79.41,23.93,-1.06
1653402201500,79.63,24.13,-1.08
1653402201506,79.84,24.32,-1.1
1653402201511,80.04,24.51,-1.11
1653402201517,80.23,24.68,-1.11
1653402201521,80.41,24.82,-1.12
1653402201526,80.59,24.93,-1.14
1653402201530,80.77,25.02,-1.18
1653402201539,80.95,25.07,-1.23
1653402201542,81.13,25.08,-1.3
1653402201546,81.3,25.06,-1.4
1653402201550,81.47,25,-1.52
1653402201554,81.65,24.91,-1.67
1653402201560,81.81,24.8,-1.84
1653402201564,81.97,24.66,-2.02
1653402201567,82.13,24.5,-2.22
1653402201572,82.28,24.33,-2.43
1653402201577,82.42,24.14,-2.65
1653402201583,82.55,23.95,-2.88
1653402201587,82.67,23.76,-3.1
1653402201592,82.79,23.57,-3.31
1653402201605,82.99,23.21,-3.69
1653402201605,82.89,23.38,-3.51
1653402201609,83.08,23.05,-3.85
1653402201614,83.16,22.9,-3.99
1653402201618,83.23,22.78,-4.09
1653402201621,83.3,22.68,-4.15
1653402201626,83.34,22.59,-4.17
1653402201632,83.38,22.53,-4.13
1653402201636,83.39,22.5,-4.05
1653402201641,83.4,22.48,-3.93
1653402201644,83.39,22.48,-3.78
1653402201650,83.37,22.5,-3.6
1653402201654,83.34,22.53,-3.4
1653402201660,83.31,22.56,-3.2
1653402201664,83.27,22.6,-3
1653402201669,83.22,22.63,-2.79
1653402201674,83.17,22.65,-2.6
1653402201678,83.12,22.67,-2.42
1653402201684,83.07,22.67,-2.25
1653402201688,83.02,22.66,-2.09
1653402201693,82.99,22.64,-1.96
1653402201699,82.96,22.6,-1.84
1653402201703,82.95,22.56,-1.74
1653402201708,82.95,22.5,-1.66
1653402201713,82.97,22.43,-1.6
1653402201716,83.01,22.35,-1.56
1653402201724,83.05,22.27,-1.55
1653402201727,83.1,22.18,-1.55
1653402201731,83.16,22.09,-1.58
1653402201736,83.23,22,-1.64
1653402201740,83.3,21.92,-1.72
1653402201746,83.37,21.84,-1.84
1653402201750,83.44,21.78,-2
1653402201755,83.51,21.73,-2.18
1653402201762,83.58,21.71,-2.39
1653402201779,83.65,21.7,-2.62
1653402201780,83.71,21.73,-2.86
1653402201780,83.77,21.77,-3.1
1653402201782,83.82,21.84,-3.34
1653402201785,83.88,21.93,-3.57
1653402201791,83.93,22.03,-3.79
1653402201795,83.99,22.14,-4
1653402201798,84.06,22.26,-4.19
1653402201804,84.13,22.38,-4.37
1653402201809,84.2,22.51,-4.53
1653402201813,84.28,22.65,-4.66
1653402201818,84.37,22.78,-4.79
1653402201823,84.48,22.91,-4.9
1653402201828,84.59,23.04,-5.01
1653402201833,84.72,23.17,-5.12
1653402201837,84.85,23.29,-5.24
1653402201847,84.98,23.4,-5.38
1653402201849,85.12,23.5,-5.54
1653402201851,85.24,23.6,-5.72
1653402201856,85.34,23.69,-5.92
1653402201870,85.46,23.83,-6.37
1653402201870,85.42,23.77,-6.14
1653402201872,85.47,23.88,-6.6
1653402201880,85.43,23.92,-6.8
1653402201884,85.36,23.94,-6.98
1653402201888,85.25,23.94,-7.11
1653402201896,84.96,23.91,-7.24
1653402201896,85.11,23.93,-7.19
1653402201904,84.79,23.87,-7.24
1653402201905,84.61,23.81,-7.22
1653402201910,84.43,23.74,-7.18
1653402201913,84.25,23.67,-7.15
1653402201919,84.05,23.6,-7.14
1653402201923,83.84,23.52,-7.17
1653402201928,83.61,23.45,-7.22
1653402201933,83.36,23.38,-7.31
1653402201937,83.08,23.31,-7.43
1653402201943,82.79,23.24,-7.55
1653402201947,82.49,23.16,-7.67
1653402201953,82.2,23.08,-7.78
1653402201957,81.9,22.99,-7.88
1653402201963,81.6,22.91,-7.97
1653402201967,81.31,22.83,-8.05
1653402201973,81.02,22.77,-8.11
1653402201977,80.73,22.72,-8.16
1653402201981,80.45,22.68,-8.2
1653402201987,80.18,22.67,-8.22
1653402201990,79.91,22.67,-8.23
1653402201996,79.66,22.68,-8.23
1653402202002,79.43,22.69,-8.22
1653402202005,79.21,22.7,-8.2
1653402202010,79.01,22.7,-8.19
1653402202014,78.83,22.68,-8.19
1653402202020,78.68,22.65,-8.2
1653402202031,78.54,22.6,-8.23
1653402202032,78.42,22.54,-8.28
1653402202035,78.32,22.47,-8.36
1653402202040,78.23,22.38,-8.46
1653402202044,78.14,22.29,-8.59
1653402202049,78.06,22.19,-8.75
1653402202053,77.97,22.09,-8.92
1653402202058,77.88,21.99,-9.1
1653402202063,77.77,21.89,-9.28
1653402202068,77.65,21.8,-9.44
1653402202074,77.52,21.71,-9.59
1653402202078,77.38,21.63,-9.7
1653402202084,77.22,21.56,-9.77
1653402202087,77.05,21.5,-9.78
1653402202092,76.88,21.44,-9.75
1653402202097,76.7,21.39,-9.66
1653402202102,76.52,21.34,-9.51
1653402202106,76.34,21.29,-9.32
1653402202111,76.16,21.25,-9.08
1653402202117,76,21.21,-8.8
1653402202120,75.84,21.17,-8.49
1653402202126,75.7,21.13,-8.16
1653402202139,75.57,21.1,-7.82
1653402202140,75.45,21.07,-7.47
1653402202142,75.35,21.05,-7.13
1653402202149,75.26,21.04,-6.8
1653402202152,75.19,21.03,-6.48
1653402202155,75.13,21.03,-6.2
1653402202165,75.09,21.04,-5.95
1653402202166,75.06,21.05,-5.75
1653402202174,75.04,21.08,-5.59
1653402202179,75.01,21.11,-5.47
1653402202180,74.99,21.15,-5.39
1653402202185,74.98,21.19,-5.35
1653402202188,74.98,21.25,-5.34
1653402202192,74.99,21.3,-5.38
1653402202199,75.01,21.36,-5.45
1653402202206,75.04,21.42,-5.55
1653402202210,75.09,21.49,-5.68
1653402202212,75.14,21.56,-5.82
1653402202219,75.21,21.63,-5.98
1653402202224,75.28,21.71,-6.14
1653402202227,75.38,21.79,-6.31
1653402202230,75.48,21.88,-6.48
1653402202236,75.61,21.97,-6.65
1653402202241,75.75,22.06,-6.82
1653402202245,75.91,22.15,-6.99
1653402202249,76.09,22.24,-7.16
1653402202254,76.28,22.33,-7.33
1653402202259,76.49,22.41,-7.49
1653402202265,76.71,22.49,-7.66
1653402202269,76.93,22.57,-7.82
1653402202275,77.16,22.63,-7.99
1653402202279,77.38,22.69,-8.16
1653402202285,77.59,22.75,-8.32
1653402202288,77.79,22.8,-8.48
1653402202294,77.98,22.86,-8.64
1653402202303,78.15,22.91,-8.78
1653402202304,78.31,22.98,-8.91
1653402202309,78.46,23.04,-9.02
1653402202313,78.59,23.11,-9.11
1653402202317,78.71,23.18,-9.17
1653402202323,78.82,23.25,-9.22
1653402202326,78.91,23.31,-9.23
1653402202333,79,23.37,-9.22
1653402202339,79.07,23.41,-9.19
1653402202343,79.14,23.45,-9.13
1653402202351,79.22,23.48,-9.05
1653402202354,79.29,23.5,-8.95
1653402202358,79.36,23.53,-8.83
1653402202361,79.43,23.55,-8.7
1653402202367,79.5,23.59,-8.54
1653402202373,79.57,23.64,-8.37
1653402202376,79.63,23.71,-8.17
1653402202380,79.69,23.81,-7.95
1653402202385,79.74,23.93,-7.7
1653402202389,79.77,24.07,-7.43
1653402202395,79.8,24.24,-7.14
1653402202405,79.8,24.42,-6.82
1653402202406,79.78,24.6,-6.48
1653402202414,79.73,24.79,-6.13
1653402202415,79.66,24.96,-5.77
1653402202421,79.58,25.11,-5.42
1653402202429,79.49,25.24,-5.08
1653402202432,79.41,25.34,-4.78
1653402202433,79.33,25.41,-4.51
1653402202437,79.27,25.43,-4.3
1653402202442,79.25,25.41,-4.14
1653402202447,79.25,25.36,-4.05
1653402202452,79.31,25.27,-4.03
1653402202456,79.41,25.16,-4.09
1653402202462,79.56,25.03,-4.22
1653402202467,79.75,24.9,-4.44
1653402202471,79.98,24.78,-4.73
1653402202477,80.23,24.67,-5.08
1653402202481,80.49,24.58,-5.46
1653402202486,80.75,24.52,-5.87
1653402202492,81.01,24.5,-6.28
1653402202495,81.25,24.51,-6.68
1653402202501,81.48,24.55,-7.05
1653402202505,81.7,24.61,-7.39
1653402202510,81.9,24.69,-7.69
1653402202516,82.09,24.78,-7.96
1653402202520,82.27,24.86,-8.19
1653402202525,82.43,24.94,-8.39
1653402202529,82.58,25.01,-8.57
1653402202534,82.71,25.06,-8.72
1653402202539,82.83,25.08,-8.86
1653402202546,82.94,25.07,-8.99
1653402202550,83.04,25.01,-9.13
1653402202553,83.12,24.92,-9.27
1653402202558,83.18,24.78,-9.41
1653402202564,83.24,24.6,-9.57
1653402202569,83.27,24.37,-9.73
1653402202574,83.28,24.1,-9.89
1653402202578,83.27,23.8,-10.06
1653402202583,83.23,23.47,-10.2
1653402202588,83.17,23.12,-10.33
1653402202593,83.08,22.76,-10.43
1653402202597,82.97,22.41,-10.49
1653402202601,82.84,22.07,-10.51
1653402202606,82.68,21.74,-10.47
1653402202610,82.51,21.45,-10.37
1653402202616,82.32,21.18,-10.2
1653402202621,82.12,20.96,-9.96
1653402202625,81.92,20.77,-9.66
1653402202629,81.72,20.63,-9.32
1653402202636,81.53,20.53,-8.93
1653402202640,81.35,20.46,-8.52
1653402202652,81.19,20.43,-8.08
1653402202653,81.04,20.43,-7.65
1653402202655,80.91,20.46,-7.22
1653402202659,80.8,20.5,-6.81
1653402202672,80.7,20.57,-6.43
1653402202673,80.62,20.64,-6.09
1653402202676,80.56,20.73,-5.79
1653402202681,80.51,20.82,-5.53
1653402202684,80.48,20.92,-5.31
1653402202693,80.46,21.03,-5.15
1653402202697,80.45,21.14,-5.04
1653402202698,80.45,21.25,-4.98
1653402202703,80.47,21.37,-4.95
1653402202707,80.49,21.48,-4.96
1653402202711,80.52,21.59,-5.01
1653402202716,80.56,21.69,-5.1
1653402202721,80.6,21.79,-5.2
1653402202725,80.65,21.88,-5.31
1653402202731,80.71,21.97,-5.43
1653402202736,80.78,22.06,-5.54
1653402202741,80.85,22.15,-5.63
1653402202745,80.92,22.24,-5.72
1653402202750,80.98,22.33,-5.77
1653402202755,81.03,22.43,-5.81
1653402202767,81.06,22.54,-5.83
1653402202771,81.08,22.64,-5.83
1653402202772,81.09,22.73,-5.84
1653402202774,81.09,22.81,-5.86
1653402202790,81.09,22.87,-5.88
1653402202791,81.09,22.9,-5.93
1653402202791,81.1,22.91,-5.99
1653402202792,81.12,22.89,-6.08
1653402202797,81.16,22.85,-6.2
1653402202802,81.22,22.8,-6.34
1653402202808,81.3,22.74,-6.51
1653402202813,81.38,22.67,-6.7
1653402202821,81.46,22.61,-6.91
1653402202823,81.54,22.57,-7.13
1653402202827,81.61,22.54,-7.34
1653402202832,81.66,22.52,-7.54
1653402202837,81.69,22.53,-7.72
1653402202841,81.69,22.55,-7.85
1653402202846,81.66,22.58,-7.95
1653402202851,81.62,22.63,-7.99
1653402202855,81.56,22.67,-7.99
1653402202862,81.5,22.71,-7.96
1653402202869,81.43,22.74,-7.91
1653402202873,81.36,22.75,-7.86
1653402202875,81.31,22.72,-7.85
1653402202880,81.26,22.66,-7.88
1653402202885,81.22,22.55,-7.98
1653402202890,81.16,22.39,-8.11
1653402202895,81.09,22.18,-8.28
1653402202900,80.99,21.93,-8.45
1653402202905,80.85,21.64,-8.63
1653402202909,80.67,21.32,-8.8
1653402202916,80.44,20.99,-8.93
1653402202919,80.16,20.64,-9.03
1653402202923,79.84,20.29,-9.08
1653402202928,79.49,19.96,-9.08
1653402202945,79.13,19.65,-9.02
1653402202949,78.75,19.38,-8.9
1653402202950,78.38,19.14,-8.72
1653402202952,78.03,18.95,-8.48
1653402202955,77.7,18.8,-8.2
1653402202959,77.4,18.69,-7.89
1653402202963,77.14,18.63,-7.57
1653402202970,76.91,18.61,-7.24
1653402202973,76.72,18.64,-6.92
1653402202977,76.57,18.69,-6.63
1653402202981,76.45,18.78,-6.37
1653402202985,76.37,18.89,-6.16
1653402202990,76.32,19.01,-6.01
1653402202995,76.3,19.13,-5.92
1653402203001,76.29,19.24,-5.89
1653402203005,76.31,19.35,-5.94
1653402203009,76.34,19.44,-6.05
1653402203014,76.37,19.52,-6.21
1653402203019,76.4,19.58,-6.42
1653402203024,76.43,19.63,-6.67
1653402203029,76.45,19.65,-6.95
1653402203034,76.45,19.66,-7.24
1653402203038,76.44,19.65,-7.52
1653402203047,76.4,19.62,-7.8
1653402203050,76.33,19.58,-8.04
1653402203053,76.24,19.53,-8.25
1653402203057,76.12,19.49,-8.4
1653402203062,75.98,19.44,-8.51
1653402203067,75.81,19.4,-8.56
1653402203072,75.62,19.37,-8.54
1653402203076,75.41,19.35,-8.47
1653402203082,75.2,19.33,-8.34
1653402203086,74.97,19.33,-8.16
1653402203091,74.74,19.33,-7.93
1653402203097,74.51,19.33,-7.67
1653402203101,74.29,19.34,-7.38
1653402203106,74.08,19.35,-7.07
1653402203111,73.89,19.36,-6.74
1653402203115,73.71,19.37,-6.42
1653402203120,73.54,19.38,-6.1
1653402203125,73.4,19.39,-5.79
1653402203130,73.28,19.4,-5.51
1653402203134,73.18,19.41,-5.26
1653402203144,73.09,19.43,-5.04
1653402203147,73.02,19.45,-4.87
1653402203154,72.96,19.49,-4.73
1653402203158,72.91,19.53,-4.63
1653402203162,72.87,19.58,-4.57
1653402203165,72.84,19.63,-4.55
1653402203170,72.82,19.69,-4.57
1653402203175,72.8,19.74,-4.62
1653402203178,72.8,19.78,-4.68
1653402203184,72.8,19.82,-4.76
1653402203186,72.82,19.85,-4.85
1653402203193,72.86,19.87,-4.94
1653402203197,72.9,19.87,-5.02
1653402203210,72.95,19.86,-5.1
1653402203210,73.01,19.84,-5.15
1653402203215,73.07,19.81,-5.19
1653402203219,73.14,19.78,-5.21
1653402203227,73.2,19.75,-5.24
1653402203230,73.27,19.73,-5.27
1653402203234,73.33,19.71,-5.33
1653402203239,73.39,19.71,-5.42
1653402203241,73.43,19.72,-5.55
1653402203245,73.47,19.74,-5.71
1653402203250,73.5,19.77,-5.9
1653402203255,73.53,19.8,-6.11
1653402203259,73.56,19.83,-6.32
1653402203264,73.59,19.85,-6.5
1653402203268,73.63,19.86,-6.63
1653402203273,73.68,19.85,-6.7
1653402203278,73.75,19.82,-6.7
1653402203284,73.84,19.78,-6.66
1653402203289,73.97,19.73,-6.58
1653402203292,74.11,19.67,-6.48
1653402203298,74.28,19.62,-6.35
1653402203303,74.48,19.58,-6.22
1653402203307,74.7,19.54,-6.11
1653402203313,74.94,19.53,-6.01
1653402203317,75.18,19.53,-5.94
1653402203324,75.43,19.56,-5.9
1653402203328,75.68,19.6,-5.88
1653402203331,75.91,19.67,-5.88
1653402203336,76.12,19.75,-5.9
1653402203342,76.31,19.85,-5.93
1653402203347,76.47,19.96,-5.96
1653402203351,76.61,20.08,-5.96
1653402203356,76.73,20.2,-5.95
1653402203360,76.83,20.33,-5.9
1653402203368,76.9,20.47,-5.8
1653402203371,76.96,20.61,-5.65
1653402203376,77,20.74,-5.46
1653402203381,77.02,20.86,-5.22
1653402203385,77.05,20.96,-4.95
1653402203390,77.08,21.03,-4.68
1653402203396,77.12,21.08,-4.41
1653402203399,77.16,21.09,-4.17
1653402203404,77.21,21.07,-3.97
1653402203409,77.27,21.02,-3.8
1653402203416,77.34,20.94,-3.67
1653402203418,77.41,20.83,-3.58
1653402203423,77.48,20.7,-3.52
1653402203427,77.56,20.55,-3.5
1653402203432,77.65,20.38,-3.53
1653402203437,77.76,20.21,-3.61
1653402203443,77.88,20.04,-3.75
1653402203448,78.02,19.88,-3.95
1653402203452,78.16,19.75,-4.2
1653402203457,78.32,19.65,-4.49
1653402203461,78.49,19.6,-4.8
1653402203466,78.67,19.6,-5.12
1653402203473,78.84,19.64,-5.44
1653402203481,79.02,19.74,-5.74
1653402203483,79.19,19.88,-6.02
1653402203488,79.35,20.06,-6.28
1653402203491,79.51,20.26,-6.52
1653402203495,79.65,20.49,-6.74
1653402203502,79.79,20.73,-6.94
1653402203505,79.92,20.97,-7.1
1653402203510,80.04,21.19,-7.24
1653402203515,80.15,21.4,-7.36
1653402203519,80.26,21.59,-7.45
1653402203524,80.36,21.74,-7.51
1653402203529,80.47,21.87,-7.56
1653402203534,80.56,21.96,-7.59
1653402203538,80.66,22.01,-7.6
1653402203544,80.76,22.02,-7.61
1653402203548,80.85,22,-7.61
1653402203554,80.94,21.94,-7.6
1653402203557,81.01,21.85,-7.59
1653402203563,81.08,21.73,-7.57
1653402203568,81.15,21.59,-7.56
1653402203574,81.22,21.42,-7.55
1653402203577,81.29,21.25,-7.55
1653402203582,81.37,21.07,-7.55
1653402203587,81.43,20.89,-7.55
1653402203592,81.5,20.71,-7.55
1653402203597,81.55,20.56,-7.53
1653402203601,81.6,20.41,-7.5
1653402203606,81.65,20.3,-7.46
1653402203612,81.69,20.2,-7.41
1653402203617,81.73,20.13,-7.35
1653402203620,81.77,20.09,-7.28
1653402203624,81.8,20.06,-7.21
1653402203629,81.83,20.06,-7.13
1653402203635,81.86,20.07,-7.04
1653402203639,81.88,20.09,-6.93
1653402203644,81.9,20.11,-6.82
1653402203649,81.91,20.14,-6.69
1653402203653,81.93,20.16,-6.56
1653402203659,81.94,20.18,-6.42
1653402203663,81.95,20.19,-6.28
1653402203668,81.96,20.19,-6.12
1653402203673,81.98,20.18,-5.95
1653402203678,82,20.16,-5.77
1653402203683,82.01,20.14,-5.58
1653402203687,82.04,20.11,-5.37
1653402203693,82.07,20.06,-5.15
1653402203697,82.1,20.01,-4.94
1653402203701,82.15,19.95,-4.73
1653402203706,82.21,19.88,-4.53
1653402203711,82.28,19.81,-4.35
1653402203717,82.38,19.73,-4.2
1653402203720,82.48,19.65,-4.09
1653402203726,82.61,19.57,-4.02
1653402203730,82.74,19.5,-4
1653402203736,82.89,19.42,-4.03
1653402203755,83.04,19.36,-4.11
1653402203755,83.19,19.3,-4.23
1653402203756,83.34,19.26,-4.37
1653402203759,83.49,19.24,-4.54
1653402203760,83.62,19.23,-4.73
1653402203765,83.75,19.24,-4.95
1653402203770,83.86,19.26,-5.19
1653402203776,83.95,19.3,-5.43
1653402203779,84.02,19.36,-5.68
1653402203790,84.07,19.41,-5.93
1653402203790,84.1,19.47,-6.17
1653402203792,84.1,19.53,-6.39
1653402203797,84.08,19.57,-6.6
1653402203802,84.03,19.6,-6.77
1653402203808,83.97,19.61,-6.91
1653402203812,83.9,19.6,-7.01
1653402203817,83.81,19.57,-7.07
1653402203821,83.73,19.51,-7.09
1653402203828,83.64,19.42,-7.09
1653402203832,83.55,19.31,-7.07
1653402203837,83.47,19.19,-7.04
1653402203841,83.39,19.06,-7.01
1653402203845,83.3,18.92,-6.98
1653402203851,83.21,18.8,-6.94
1653402203857,83.1,18.7,-6.91
1653402203861,82.96,18.64,-6.88
1653402203868,82.79,18.6,-6.86
1653402203870,82.59,18.59,-6.84
1653402203876,82.34,18.57,-6.82
1653402203885,82.06,18.54,-6.79
1653402203885,81.76,18.48,-6.75
1653402203889,81.43,18.4,-6.71
1653402203893,81.08,18.28,-6.68
1653402203899,80.72,18.13,-6.67
1653402203903,80.35,17.97,-6.69
1653402203909,79.98,17.78,-6.75
1653402203916,79.63,17.6,-6.83
1653402203918,79.3,17.41,-6.94
1653402203924,79,17.23,-7.07
1653402203928,78.72,17.07,-7.21
1653402203934,78.46,16.93,-7.35
1653402203938,78.21,16.82,-7.49
1653402203949,77.97,16.75,-7.61
1653402203954,77.74,16.72,-7.7
1653402203958,77.51,16.73,-7.75
1653402203959,77.29,16.79,-7.77
1653402203962,77.08,16.88,-7.74
1653402203967,76.9,17.01,-7.67
1653402203977,76.72,17.16,-7.58
1653402203978,76.57,17.33,-7.48
1653402203980,76.45,17.5,-7.39
1653402203985,76.34,17.68,-7.31
1653402203989,76.25,17.85,-7.25
1653402203996,76.18,18.02,-7.23
1653402204000,76.11,18.16,-7.24
1653402204012,76.06,18.29,-7.3
1653402204013,76.01,18.4,-7.39
1653402204016,75.96,18.48,-7.52
1653402204021,75.91,18.55,-7.68
1653402204026,75.85,18.59,-7.86
1653402204028,75.79,18.62,-8.06
1653402204036,75.72,18.62,-8.26
1653402204040,75.64,18.62,-8.45
1653402204043,75.53,18.61,-8.62
1653402204047,75.41,18.59,-8.75
1653402204054,75.27,18.56,-8.83
1653402204057,75.11,18.53,-8.86
1653402204065,74.92,18.51,-8.83
1653402204068,74.72,18.49,-8.75
1653402204073,74.51,18.47,-8.61
1653402204077,74.29,18.47,-8.41
1653402204081,74.05,18.47,-8.17
1653402204088,73.82,18.48,-7.88
1653402204091,73.58,18.5,-7.56
1653402204098,73.34,18.53,-7.21
1653402204101,73.1,18.57,-6.83
1653402204106,72.87,18.63,-6.44
1653402204110,72.64,18.69,-6.04
1653402204116,72.42,18.77,-5.64
1653402204120,72.22,18.85,-5.24
1653402204124,72.02,18.95,-4.84
1653402204129,71.83,19.07,-4.45
1653402204134,71.66,19.19,-4.09
1653402204140,71.51,19.32,-3.74
1653402204144,71.37,19.46,-3.42
1653402204149,71.24,19.61,-3.13
1653402204161,71.12,19.76,-2.87
1653402204161,71,19.9,-2.63
1653402204164,70.87,20.05,-2.43
1653402204168,70.74,20.19,-2.26
1653402204175,70.61,20.34,-2.11
1653402204179,70.49,20.47,-2
1653402204188,70.37,20.61,-1.93
1653402204189,70.26,20.74,-1.89
1653402204192,70.17,20.86,-1.88
1653402204197,70.08,20.97,-1.9
1653402204201,70,21.06,-1.96
1653402204206,69.94,21.14,-2.04
1653402204211,69.89,21.2,-2.14
1653402204215,69.85,21.24,-2.28
1653402204221,69.82,21.26,-2.43
1653402204225,69.81,21.25,-2.62
1653402204230,69.82,21.23,-2.82
1653402204235,69.85,21.19,-3.04
1653402204239,69.88,21.13,-3.27
1653402204245,69.93,21.05,-3.5
1653402204249,69.97,20.96,-3.73
1653402204253,70.02,20.86,-3.96
1653402204259,70.05,20.76,-4.17
